# slice R smoke — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
B/re/0/eta_lpc	4606281698874543309	0.9
B/re/0/eta_lpt	4606281698874543309	0.9
B/re/0/f	4582591370642844636	0.024057662925752385
B/re/0/m_hp	4607182418800029548	1.0000000000026956
B/re/0/m_imp	4607182418800115789	1.000000000021845
B/re/0/m_lp	4607182418800115789	1.000000000021845
B/re/0/mdot4	4607290764881905979	1.0240576629481228
B/re/0/mdot_air	4607182418800115789	1.000000000021845
B/re/0/n_hp	4607182418800027387	1.0000000000022158
B/re/0/n_lp	4607182418800017408	1.0
B/re/0/nu_hp	4607182418800017408	1.0
B/re/0/nu_hpt	4607182418800017408	1.0
B/re/0/nu_lp	4607182418800017408	1.0
B/re/0/nu_lpt	4607182418799976718	0.9999999999954825
B/re/0/phi_hp	4607182418800019569	1.0000000000004798
B/re/0/phi_lp	4607182418800115789	1.000000000021845
B/re/0/pi_hpc	4618441417868477196	6.000000000029797
B/re/0/pi_hpt	4601480128964520702	0.43345932657727804
B/re/0/pi_lpc	4613937818241187544	3.0000000000508003
B/re/0/pi_lpt	4604378127517645238	0.688661125055481
B/re/0/pt4	4698529237748338138	1345394.65147101
B/re/0/slip	4607182418800017408	1.0
B/re/0/sp_thrust	4649627730615445666	729.4732764039838
B/re/0/tau_hpc	4610462024585372248	1.7282187709189625
B/re/0/tau_hpt	4605734372676204500	0.8392345852623699
B/re/0/tau_lpc	4609020278146028902	1.4080867523928986
B/re/0/tau_lpt	4606503978674089280	0.9246780151365002
census/B/re/close_bracket_fails	0	0
census/B/re/close_calls	1	1
census/B/re/close_nonreal_propagated	0	0
census/B/re/eig_complex	0	0
census/B/re/eig_real	0	0
census/B/re/hi_wall_literal	0	0
census/B/re/hi_wall_map	1	1
census/B/re/illinois_calls	1	1
census/B/re/illinois_evals	9	9
census/B/re/illinois_exhausted	0	0
census/B/re/instant_calls	1	1
census/B/re/integrate_calls	0	0
census/B/re/match_calls	0	0
census/B/re/powers_calls	0	0
C/cpg/0/M9	4607182418800017406	0.9999999999999998
C/cpg/0/Pc_hp	4689028848267263342	307641.2134074782
C/cpg/0/Pc_lp	4682824482708545820	117696.90169561323
C/cpg/0/Phi_hp	4392981919590641612	5.1085705561237316e-15
C/cpg/0/Phi_lp	13621356199628391289	-1.1003861925559265e-14
C/cpg/0/Pt_hp	4689028848267263369	307641.21340747975
C/cpg/0/Pt_lp	4682824482708545731	117696.90169561193
C/cpg/0/Tt2	4643741180423569407	286.12499999999994
C/cpg/0/Tt25	4645803477028629735	403.35298973666653
C/cpg/0/Tt3	4649454405929320605	709.768540939334
C/cpg/0/Tt4	4654311885213007872	1500.0
C/cpg/0/Tt45	4653239169443246811	1256.0926727235117
C/cpg/0/Tt5	4652828771495902638	1162.778983041509
C/cpg/0/branch_choked	1	1
C/cpg/0/eta_hpc	4606101554889448489	0.88
C/cpg/0/eta_hpt	4606461842859638129	0.92
C/cpg/0/eta_lpc	4606281698874543309	0.9
C/cpg/0/eta_lpt	4606281698874543309	0.9
C/cpg/0/f	4583809590202238789	0.028284211062902704
C/cpg/0/m_hp	4607182418800017407	0.9999999999999999
C/cpg/0/m_imp	4607182418800017409	1.0000000000000002
C/cpg/0/m_lp	4607182418800017409	1.0000000000000002
C/cpg/0/mdot4	4607309799562420766	1.028284211062903
C/cpg/0/mdot_air	4607182418800017409	1.0000000000000002
C/cpg/0/n_hp	4607182418800017408	1.0
C/cpg/0/n_lp	4607182418800017408	1.0
C/cpg/0/nu_hp	4607182418800017408	1.0
C/cpg/0/nu_hpt	4607182418800017408	1.0
C/cpg/0/nu_lp	4607182418800017408	1.0
C/cpg/0/nu_lpt	4607182418800017410	1.0000000000000004
C/cpg/0/phi_hp	4607182418800017407	0.9999999999999999
C/cpg/0/phi_lp	4607182418800017409	1.0000000000000002
C/cpg/0/pi_hpc	4618441417868443649	6.000000000000001
C/cpg/0/pi_hpt	4601427004634511389	0.4305103338600718
C/cpg/0/pi_lpc	4613937818241073153	3.0000000000000004
C/cpg/0/pi_lpt	4604376207078889679	0.6884479135231006
C/cpg/0/pt4	4698523799358154354	1344128.4275840786
C/cpg/0/slip	4607182418800017408	1.0
C/cpg/0/sp_thrust	4649651320669411054	732.1551550409911
C/cpg/0/tau_hpc	4610603672633087516	1.7596709557123011
C/cpg/0/tau_hpt	4605717804202370306	0.8373951151490078
C/cpg/0/tau_lpc	4609027584132985321	1.409709007380224
C/cpg/0/tau_lpt	4606513284257310085	0.9257111424114305
C/cpg/0/exit_noise	0	0
C/cpg/0/passes	0	0
C/cpg/0/powers_calls	1	1
C/cpg/1/M9	4607182418800017401	0.9999999999999992
C/cpg/1/Pc_hp	4687637101205943428	244387.43619242695
C/cpg/1/Pc_lp	4681161503485252140	93497.36901170824
C/cpg/1/Phi_hp	13638050720124282126	-1.427433855422979e-13
C/cpg/1/Phi_lp	4416359996299580025	1.8518569334594035e-13
C/cpg/1/Pt_hp	4687637101205941623	244387.4361923744
C/cpg/1/Pt_lp	4681161503485253882	93497.3690117336
