# phase-5I off-design matcher oracle — key	u64 bits	repr
# cpython 3.14.3
cell/cpg/0.50/650/mdot_air	4600798483870414978	0.3956204226723302
cell/cpg/0.50/650/mdot_ratio	4600798483870414978	0.3956204226723302
cell/cpg/0.50/650/thrust	4635912168470263184	88.2742985679854
cell/cpg/0.50/650/V0	4639778685815524299	158.4416296305993
cell/cpg/0.50/650/V9	4645353960927809214	377.80095773304845
cell/cpg/0.50/650/M9	4606150328716415515	0.8854149825697876
cell/cpg/0.50/650/T9	4647324686251414374	489.823722762338
cell/cpg/0.50/650/p9	4677104761256804352	50000.0
cell/cpg/0.50/650/F_over_mdot	4642054662255676459	223.12877068304928
cell/cpg/0.50/650/tsfc	4541723674123327820	4.4715542583495e-05
cell/cpg/0.50/650/eta_th	4594190354302031805	0.1393977714230327
cell/cpg/0.50/650/eta_p	4603524568956176077	0.5938970882745821
cell/cpg/0.50/650/s2/Tt	4643325565028270080	262.5
cell/cpg/0.50/650/s2/pt	4678139857026256349	57531.31294515331
cell/cpg/0.50/650/s3/Tt	4645552204220597595	389.0697842613642
cell/cpg/0.50/650/s3/pt	4686056648912682637	198390.2206044089
cell/cpg/0.50/650/s4/Tt	4648928676283416576	650.0
cell/cpg/0.50/650/s4/pt	4685783983469693145	190454.61178023255
cell/cpg/0.50/650/s5/Tt	4648026408517720842	547.424030939904
cell/cpg/0.50/650/s5/pt	4680412573197317787	82598.99894973116
cell/cpg/0.50/650/s9/Tt	4648026408517720842	547.424030939904
cell/cpg/0.50/650/s9/pt	4680299049997582928	80947.01897073654
cell/cpg/0.50/650/s4/far	4576905157507208665	0.009977324047080781
cell/cpg/0.50/900/abort	0	0.0
cell/cpg/0.50/900/branch	0	0.0
cell/cpg/0.50/900/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.50/900/pi_c	4617517151887045059	5.179086901258816
cell/cpg/0.50/900/tau_c	4610252156729323944	1.6816187457362535
cell/cpg/0.50/900/tau_t	4605740205924975101	0.8398822059717187
cell/cpg/0.50/900/pi_t	4601379591121935493	0.4278783551930661
cell/cpg/0.50/900/mdot_air	4602695202582099522	0.5018189238396149
cell/cpg/0.50/900/mdot_ratio	4602695202582099522	0.5018189238396149
cell/cpg/0.50/900/thrust	4641886884931971715	218.3602523397022
cell/cpg/0.50/900/V0	4639778685815524299	158.4416296305993
cell/cpg/0.50/900/V9	4647403177359497061	494.2854256959311
cell/cpg/0.50/900/M9	4607182418800017407	0.9999999999999999
cell/cpg/0.50/900/T9	4648992880001835330	657.2991177169972
cell/cpg/0.50/900/p9	4679229052375965312	65456.25214320142
cell/cpg/0.50/900/F_over_mdot	4646362636760531108	435.1375405872334
cell/cpg/0.50/900/tsfc	4540648107405536757	3.7427219007981414e-05
cell/cpg/0.50/900/eta_th	4594936256364161367	0.1601007125103233
cell/cpg/0.50/900/eta_p	4603739826300263096	0.6177954542370889
cell/cpg/0.50/900/s2/Tt	4643325565028270080	262.5
cell/cpg/0.50/900/s2/pt	4678139857026256349	57531.31294515331
cell/cpg/0.50/900/s3/Tt	4646473245522187915	441.42492075576655
cell/cpg/0.50/900/s3/pt	4688862520605765216	297959.6692864653
cell/cpg/0.50/900/s4/Tt	4651127699538968576	900.0
cell/cpg/0.50/900/s4/pt	4688657764280147241	286041.28251500666
cell/cpg/0.50/900/s5/Tt	4649860129629263423	755.8939853745468
cell/cpg/0.50/900/s5/pt	4683147049993371169	122390.87347983617
cell/cpg/0.50/900/s9/Tt	4649860129629263423	755.8939853745468
cell/cpg/0.50/900/s9/pt	4682978837257715242	119943.05601023944
cell/cpg/0.50/900/s4/far	4580351337864357148	0.016285988030152784
cell/cpg/0.50/1100/abort	0	0.0
cell/cpg/0.50/1100/branch	0	0.0
cell/cpg/0.50/1100/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.50/1100/pi_c	4619460075851763620	6.904750037840049
cell/cpg/0.50/1100/tau_c	4610953298089486292	1.8373034020501011
cell/cpg/0.50/1100/tau_t	4605740205924975101	0.8398822059717187
cell/cpg/0.50/1100/pi_t	4601379591121935493	0.4278783551930661
cell/cpg/0.50/1100/mdot_air	4603598540733857391	0.6021096053500069
cell/cpg/0.50/1100/mdot_ratio	4603598540733857391	0.6021096053500069
cell/cpg/0.50/1100/thrust	4644883761367340402	351.07320716915194
cell/cpg/0.50/1100/V0	4639778685815524299	158.4416296305993
cell/cpg/0.50/1100/V9	4648017868108225219	546.453098791499
cell/cpg/0.50/1100/M9	4607182418800017406	0.9999999999999998
cell/cpg/0.50/1100/T9	4650277694264691766	803.3655883207746
cell/cpg/0.50/1100/p9	4680733298504161683	87266.16642651548
cell/cpg/0.50/1100/F_over_mdot	4648339970717468108	583.0719258582044
cell/cpg/0.50/1100/tsfc	4540547797649313343	3.6747493660363184e-05
cell/cpg/0.50/1100/eta_th	4594666434208338233	0.1526116432616023
cell/cpg/0.50/1100/eta_p	4604120877338929354	0.66010061790555
cell/cpg/0.50/1100/s2/Tt	4643325565028270080	262.5
cell/cpg/0.50/1100/s2/pt	4678139857026256349	57531.31294515331
cell/cpg/0.50/1100/s3/Tt	4647192189299698135	482.29214303815155
cell/cpg/0.50/1100/s3/pt	4690568132279392864	397239.33523503505
cell/cpg/0.50/1100/s4/Tt	4652552666608566272	1100.0
