# phase-3D resolved-cross-plane oracle — key	u64 bits	repr
# pypy 3.11.15
loc/g/halfS/gmin	4580884326487337178	0.018135163783576803
loc/g/halfS/clear_lo	4608172990664854727	1.219951138377654
loc/g/halfS/clear_hi	4609363476049781405	1.484291995342722
loc/g/halfS/v0	4584644013196286399	0.031179197376241193
loc/g/halfS/v1	4582034034199863763	0.022124013702439726
loc/g/halfS/v2	4580884326487337178	0.018135163783576803
loc/g/halfS/v3	4583415771635870148	0.02691787843819228
loc/g/halfS/v4	4585805974343732414	0.03917111987507259
loc/g/dblH/idx	4611686018427387904	2.0
loc/g/dblH/J	4634204016564240384	64.0
loc/g/dblH/C	4612811918334230528	2.5
loc/g/dblH/gmin	4580884326487337178	0.018135163783576803
loc/g/dblH/clear_lo	4608172990664854727	1.219951138377654
loc/g/dblH/clear_hi	4609363476049781405	1.484291995342722
loc/g/dblH/v0	4584644013196286399	0.031179197376241193
loc/g/dblH/v1	4582034034199863763	0.022124013702439726
loc/g/dblH/v2	4580884326487337178	0.018135163783576803
loc/g/dblH/v3	4583415771635870148	0.02691787843819228
loc/g/dblH/v4	4585805974343732414	0.03917111987507259
loc/g/kp25/idx	4613937818241073152	3.0
loc/g/kp25/J	4630263366890291200	36.0
loc/g/kp25/C	4615626668101337088	3.75
loc/g/kp25/gmin	4580956973959760171	0.01838721033534189
loc/g/kp25/clear_lo	4609070918440975323	1.4193311566775637
loc/g/kp25/clear_hi	4607885009410211069	1.1560064544644881
loc/g/kp25/v0	4585985916525720714	0.04041971958472697
loc/g/kp25/v1	4584861745946925742	0.032619219208574676
loc/g/kp25/v2	4583179325327216864	0.02609754051333446
loc/g/kp25/v3	4580956973959760171	0.01838721033534189
loc/g/kp25/v4	4581783769564833262	0.02125573382725137
loc/g/kp40/idx	4607182418800017408	1.0
loc/g/kp40/J	4621256167635550208	9.0
loc/g/kp40/C	4611123068473966592	1.875
loc/g/kp40/gmin	4581485383116602708	0.02022049787393361
loc/g/kp40/clear_lo	4607282548615398821	1.0222332852975822
loc/g/kp40/clear_hi	4609221756880308479	1.4528240183468026
loc/g/kp40/v0	4581614962298621090	0.020670065972023928
loc/g/kp40/v1	4581485383116602708	0.02022049787393361
loc/g/kp40/v2	4584124514720875185	0.029376824974181207
loc/g/kp40/v3	4586437291166122202	0.04355176032538717
loc/g/kp40/v4	4587137439975340463	0.04841001862949967
fine/J0	4607182418800017408	1.0
fine/g0	4586252571751723504	0.04227001190688273
fine/J12	4616721195882509480	4.47213595499958
fine/g12	4584278516048897385	0.029911124412284638
fine/J24	4626322717216342016	20.0
fine/g24	4581100388645993344	0.018884779981358957
fine/J30	4631149288344528386	42.294850537622565
fine/g30	4584291982241567404	0.029957844653398055
fine/J36	4635994388755771858	89.44271909999159
fine/g36	4586391424662325604	0.04323349752179942
fine/J48	4645744490609377280	400.0
fine/g48	4587164735738452595	0.048599421033760935
F/base/J4.0	4600740075459548421	0.39237810454353933
F/base/J9.0	4599812742950444616	0.34090080938901623
F/base/J16.0	4599366644501220663	0.3161373709101158
F/base/J36.0	4600346268785680185	0.37051744271456105
F/base/J64.0	4601373680895167787	0.42755027170115295
loc/F/base/idx	4611686018427387904	2.0
loc/F/base/J	4625196817309499392	16.0
loc/F/base/C	4612811918334230528	2.5
loc/F/base/clear_lo	4607535191431689913	1.078331259628085
loc/F/base/clear_hi	4607957101243949392	1.172014057205235
F/base/depth	4608769574083311774	1.3524192678337736
F/cancel/J4.0/a	4600740075459548466	0.39237810454354183
F/cancel/J4.0/b	4600740075459548461	0.39237810454354155
F/cancel/J4.0/d	13597493174938370048	-2.7755575615628914e-16
F/cancel/J16.0/a	4599366644501220682	0.31613737091011684
F/cancel/J16.0/b	4599366644501220695	0.31613737091011757
F/cancel/J16.0/d	4380313587571228672	7.216449660063518e-16
F/cancel/J64.0/a	4601373680895167897	0.42755027170115906
F/cancel/J64.0/b	4601373680895167717	0.42755027170114906
F/cancel/J64.0/d	13620714860516999168	-9.992007221626409e-15
grad/base/J4.0	4614931967771093480	3.4414910792595386
grad/base/J9.0	4616255157509980053	4.058210729766775
grad/base/J16.0	4616317790053082889	4.113839602921652
grad/base/J36.0	4615692645365711766	3.7792997912042194
grad/base/J64.0	4613449213474155585	2.7830158951306037
loc/grad/base/idx	4611686018427387904	2.0
loc/grad/base/J	4625196817309499392	16.0
loc/grad/base/clear_lo	4607244152945702283	1.0137077339889824
loc/grad/base/clear_hi	4607581072903853705	1.088518992988073
loc/Fshift/halfS/idx	4611686018427387904	2.0
loc/Fshift/halfS/J	4634204016564240384	64.0
loc/Fshift/halfS/C	4612811918334230528	2.5
loc/Fshift/base/idx	4611686018427387904	2.0
loc/Fshift/base/J	4625196817309499392	16.0
loc/Fshift/base/C	4612811918334230528	2.5
stag/base/J4.0	4644653775074623488	338.0
stag/base/J9.0	4642507528377204736	236.0
stag/base/J16.0	4641522365958717440	208.0
stag/base/J36.0	4643985272004935680	300.0
stag/base/J64.0	4646096334330265600	420.0
loc/stag/base/idx	4611686018427387904	2.0
loc/stag/base/J	4625196817309499392	16.0
stag/base/frac_min	4596486369685012480	0.203125
stag/base/frac_max	4601060338056560640	0.41015625
stag/n16/J16	4631389266797133824	44.0
stag/n32/J16	4641522365958717440	208.0
stag/n48/J16	4647714815446351872	512.0
knots/r23/n16/J4.0	4620693217682128896	8.0
knots/r24/n16/J4.0	4620693217682128896	8.0
knots/r23/n16/J16.0	4620693217682128896	8.0
knots/r24/n16/J16.0	4620693217682128896	8.0
knots/r23/n16/J100.0	4620693217682128896	8.0
knots/r24/n16/J100.0	4620693217682128896	8.0
knots/r23/n32/J4.0	4625196817309499392	16.0
knots/r24/n32/J4.0	4625196817309499392	16.0
knots/r23/n32/J16.0	4625196817309499392	16.0
knots/r24/n32/J16.0	4625196817309499392	16.0
knots/r23/n32/J100.0	4625196817309499392	16.0
knots/r24/n32/J100.0	4625196817309499392	16.0
knots/r23/n48/J4.0	4627448617123184640	24.0
