# phase-3C mixing-PDF oracle — key	u64 bits	repr
# cpython 3.14.3
cfg/0.0625/C100.0/omega_tr	4576877093609488443	0.0099286409448781
cfg/0.05/1.0/C_pdf	4602678819172646912	0.5
cfg/0.05/1.0/C_qp	4602678819172646912	0.5
cfg/0.05/1.0/C_pq	4602678819172646912	0.5
cfg/0.05/1.0/C_tr	4602678819172646912	0.5
cfg/0.05/4.0/C_pdf	4607182418800017408	1.0
cfg/0.05/4.0/C_qp	4607182418800017408	1.0
cfg/0.05/4.0/C_pq	4607182418800017408	1.0
cfg/0.05/4.0/C_tr	4607182418800017408	1.0
cfg/0.05/9.0/C_pdf	4609434218613702656	1.5
cfg/0.05/9.0/C_qp	4609434218613702656	1.5
cfg/0.05/9.0/C_pq	4609434218613702656	1.5
cfg/0.05/9.0/C_tr	4609434218613702656	1.5
cfg/0.05/16.0/C_pdf	4611686018427387904	2.0
cfg/0.05/16.0/C_qp	4611686018427387904	2.0
cfg/0.05/16.0/C_pq	4611686018427387904	2.0
cfg/0.05/16.0/C_tr	4611686018427387904	2.0
cfg/0.05/25.0/C_pdf	4612811918334230528	2.5
cfg/0.05/25.0/C_qp	4612811918334230528	2.5
cfg/0.05/25.0/C_pq	4612811918334230528	2.5
cfg/0.05/25.0/C_tr	4612811918334230528	2.5
cfg/0.05/64.0/C_pdf	4616189618054758400	4.0
cfg/0.05/64.0/C_qp	4616189618054758400	4.0
cfg/0.05/64.0/C_pq	4616189618054758400	4.0
cfg/0.05/64.0/C_tr	4616189618054758400	4.0
cfg/0.05/100.0/C_pdf	4617315517961601024	5.0
cfg/0.05/100.0/C_qp	4617315517961601024	5.0
cfg/0.05/100.0/C_pq	4617315517961601024	5.0
cfg/0.05/100.0/C_tr	4617315517961601024	5.0
cfg/0.05/225.0/C_pdf	4620130267728707584	7.5
cfg/0.05/225.0/C_qp	4620130267728707584	7.5
cfg/0.05/225.0/C_pq	4620130267728707584	7.5
cfg/0.05/225.0/C_tr	4620130267728707584	7.5
cfg/0.05/625.0/C_pdf	4623226492472524800	12.5
cfg/0.05/625.0/C_qp	4623226492472524800	12.5
cfg/0.05/625.0/C_pq	4623226492472524800	12.5
cfg/0.05/625.0/C_tr	4623226492472524800	12.5
cfg/0.05/C0.01/g_pdf	4599075939470750515	0.3
cfg/0.05/C0.01/u_qp	4616870979110786325	4.605170185988091
cfg/0.05/C0.01/g_qp	4599075939470750515	0.3
cfg/0.05/C0.01/D_qp	4623139943870190853	12.34625879830356
cfg/0.05/C0.01/g_pq	4599075939470750515	0.3
cfg/0.05/C0.01/tcore_pq	4585498671262046556	0.03703877639491068
cfg/0.05/C0.01/omega_tr	4576877093609488474	0.009928640944878154
cfg/0.05/C0.25/g_pdf	4599075939470750515	0.3
cfg/0.05/C0.25/u_qp	4608922133940812271	1.3862943611198906
