# phase-4F recombination-march oracle — key	u64 bits	repr
# pypy 3.11.15
fr100/dp/da1/comp/H2O	4588246727941564256	0.05610725013600759
fr100/dp/da1/comp/CO	4502601338822377963	1.0599705062699004e-07
fr100/dp/da1/comp/H2	4496289599674872451	4.103326166672206e-08
fr100/dp/da1/comp/OH	4533233497189250726	1.205475552601015e-05
fr100/dp/da1/comp/O	4506517891951228210	1.9645510982220122e-07
fr100/dp/da1/comp/H	4470815315414395630	8.011331800225717e-10
fr100/dp/da1/comp/O2	4593686421157004949	0.1254108169110181
fr100/dp/da1/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da1/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da3/T9	4650351969872761084	811.8097473220255
fr100/dp/da3/V9	4652288559619163258	1039.94902310919
fr100/dp/da3/dS	4555828640622837760	0.0003899342317481569
fr100/dp/da3/comp/CO2	4588247600469115167	0.0561133045121116
fr100/dp/da3/comp/H2O	4588247476626797730	0.05611244518341009
fr100/dp/da3/comp/CO	4489807345856444731	1.4435487242025683e-08
fr100/dp/da3/comp/H2	4483372355267188317	5.620134462080667e-09
fr100/dp/da3/comp/OH	4520805702258505199	1.7361794479546594e-06
fr100/dp/da3/comp/O	4493709446314836177	2.6880780679866456e-08
fr100/dp/da3/comp/H	4457963637562906389	1.0866058715683229e-10
fr100/dp/da3/comp/O2	4593686514859645337	0.12541341768173878
fr100/dp/da3/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da3/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da10/T9	4650351949589083412	811.8074413348536
fr100/dp/da10/V9	4652288612819524170	1039.9611194707854
fr100/dp/da10/dS	4539719332506107904	3.113359548478911e-05
fr100/dp/da10/comp/CO2	4588247602547417759	0.056113318933232785
fr100/dp/da10/comp/H2O	4588247601937949305	0.056113314704195845
fr100/dp/da10/comp/CO	4444937777441209257	1.4366034216655312e-11
fr100/dp/da10/comp/H2	4439424947532712721	6.367767379666619e-12
fr100/dp/da10/comp/OH	4486203829261925181	8.47396911402632e-09
fr100/dp/da10/comp/O	4449646544659046938	2.968617088768969e-11
fr100/dp/da10/comp/H	4412547656725307204	1.0131777517264628e-13
fr100/dp/da10/comp/O2	4593686530543244884	0.12541385298907193
fr100/dp/da10/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da10/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da30/T9	4650351923681535382	811.8044959876449
fr100/dp/da30/V9	4652288627261395849	1039.9644031722294
fr100/dp/da30/dS	13769928588832800768	-9.389363728473654e-05
fr100/dp/da30/comp/CO2	4588247602549486142	0.056113318947585075
fr100/dp/da30/comp/H2O	4588247602430296095	0.056113318120537985
fr100/dp/da30/comp/CO	4399723181494221779	1.3747549689826805e-14
fr100/dp/da30/comp/H2	4407091851066357648	4.464962269009622e-14
fr100/dp/da30/comp/OH	4475569240160911112	1.6540323813930832e-09
fr100/dp/da30/comp/O	4415340938141693903	1.5946104883704745e-13
fr100/dp/da30/comp/H	4346044254992399855	3.523846445507333e-18
fr100/dp/da30/comp/O2	4593686530604831953	0.12541385469845648
fr100/dp/da30/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da30/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da300/T9	4650351913201623003	811.803304559547
fr100/dp/da300/V9	4652288633049971955	1039.9657193420542
fr100/dp/da300/dS	13772818446876147712	-0.00014404672128875973
fr100/dp/da300/comp/CO2	4588247602549487217	0.056113318947592535
fr100/dp/da300/comp/H2O	4588247602466534381	0.056113318371991606
fr100/dp/da300/comp/CO	4394471844823386262	6.283914323938303e-15
fr100/dp/da300/comp/H2	4403068494807296887	2.3840192218052933e-14
fr100/dp/da300/comp/OH	4473137531240754888	1.1511667628617115e-09
fr100/dp/da300/comp/O	4411123669370147511	8.334452790841348e-14
fr100/dp/da300/comp/H	4338732904601878336	1.20757022225237e-18
fr100/dp/da300/comp/O2	4593686530609362225	0.12541385482419679
fr100/dp/da300/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da300/comp/Ar	4576516852069590693	0.009303721488595438
fr100/warm/da003/T9	4651997551588769199	998.8907288274985
fr100/warm/da003/V9	4653030470957145034	1208.6401308791123
fr100/warm/da003/dS	13778994770319769600	-0.0003787719823549196
fr100/warm/da003/comp/CO2	4590297628678231373	0.07817646551037179
fr100/warm/da003/comp/H2O	4590287827565688213	0.0780404477502173
fr100/warm/da003/comp/CO	4536274822868600553	1.9155134204479783e-05
fr100/warm/da003/comp/H2	4527526525141880725	5.008081675448354e-06
fr100/warm/da003/comp/OH	4554170296290846426	0.00030003520537445554
fr100/warm/da003/comp/O	4534003380797091129	1.335898908879381e-05
fr100/warm/da003/comp/H	4509161063783732177	2.944199922544265e-07
fr100/warm/da003/comp/O2	4591309634638238847	0.09222086948359907
fr100/warm/da003/comp/N2	4605210854977551093	0.7811124449779913
fr100/warm/da003/comp/Ar	4576516852069590693	0.009303721488595438
fr100/warm/da03/T9	4652000195448925698	999.191300928069
fr100/warm/da03/V9	4653030782903638101	1208.7110592997826
fr100/warm/da03/dS	4568131486394482688	0.0025956076993338684
fr100/warm/da03/comp/CO2	4590297951827591341	0.07818095010861965
fr100/warm/da03/comp/H2O	4590290358919644303	0.07807557734328639
fr100/warm/da03/comp/CO	4534777581418277220	1.467053595665254e-05
fr100/warm/da03/comp/H2	4526149426564754503	3.841633809005427e-06
fr100/warm/da03/comp/OH	4552697888064353167	0.00023217821023848977
fr100/warm/da03/comp/O	4532165130540255633	1.024487202311712e-05
fr100/warm/da03/comp/H	4507600999319471887	2.251247231445853e-07
fr100/warm/da03/comp/O2	4591310764390376545	0.09223654794404147
fr100/warm/da03/comp/N2	4605210854977551093	0.7811124449779913
fr100/warm/da03/comp/Ar	4576516852069590693	0.009303721488595438
fr100/warm/da1/T9	4652004397087411598	999.6689719207805
fr100/warm/da1/V9	4653031375017974376	1208.845690512704
fr100/warm/da1/dS	4574021997449478144	0.0063941693049685
fr100/warm/da1/comp/CO2	4590298479039009569	0.07818826663681168
fr100/warm/da1/comp/H2O	4590294537773157135	0.07813357058561742
fr100/warm/da1/comp/CO	4530296105825417162	7.354007764482802e-06
fr100/warm/da1/comp/H2	4521678732215166102	1.934752831712708e-06
fr100/warm/da1/comp/OH	4548491590231998392	0.00012011829576974345
fr100/warm/da1/comp/O	4527700735616429525	5.1556436871479944e-06
fr100/warm/da1/comp/H	4503078821738953297	1.123164844096523e-07
fr100/warm/da1/comp/O2	4591312632100598068	0.09226246763018225
fr100/warm/da1/comp/N2	4605210854977551093	0.7811124449779913
fr100/warm/da1/comp/Ar	4576516852069590693	0.009303721488595438
