# phase-4G NO-march oracle — key	u64 bits	repr
# pypy 3.11.15
clock/killc/4/2	4649583999964642341	724.5016770026456
clock/free/4/3	4596283816508885786	0.19750302000382974
clock/killT/4/3	4604680984066100706	0.7222849563808575
clock/killc/4/3	4649583999964642341	724.5016770026456
clock/free/4/4	4587486788450467379	0.05083411063389711
clock/killT/4/4	4595865938193831316	0.1859045668322038
clock/killc/4/4	4649583999964642341	724.5016770026456
clock/free/5/0	4608522396317854180	1.2975347785564901
clock/killT/5/0	4626894024491039547	22.029691169616154
clock/killc/5/0	4639694803948153518	156.05756356970727
clock/free/5/1	4602891088820355965	0.5235666650315661
clock/killT/5/1	4621193777935633663	8.889173629845116
clock/killc/5/1	4639694803948153518	156.05756356970727
clock/free/5/2	4596687028645207713	0.20869440494265226
clock/killT/5/2	4615161079309384959	3.543237041266934
clock/killc/5/2	4639694803948153518	156.05756356970727
clock/free/5/3	4587211432148700251	0.04892344247016275
clock/killT/5/3	4605656848744224349	0.8306276998379861
clock/killc/5/3	4639694803948153518	156.05756356970727
clock/free/5/4	4578412478791808797	0.012592109665316148
clock/killT/5/4	4596870625879325702	0.21379025185703443
clock/killc/5/4	4639694803948153518	156.05756356970727
clock/no_radicals_is_inf	4607182418800017408	1.0
exact/cold/0/tau	4729321422679217344	150365041.71988487
exact/cold/0/beta	4585923840230303453	0.03998897875687899
exact/cold/0/a	4620810834837893590	8.208930039073419
exact/cold/0/surrogate	4724029806057039018	65274508.298409775
exact/cold/0/ratio	4612369619466190180	2.3035798451743847
exact/cold/1/tau	4734751620213242747	355959622.51555604
exact/cold/1/beta	4584775438537210380	0.03202034124943873
exact/cold/1/a	4623284700502552832	12.60339823224831
exact/cold/1/surrogate	4730163277313697558	175454264.9402396
exact/cold/1/ratio	4611750844719632478	2.028788656900402
exact/cold/2/tau	4740688991244856637	882838115.5091931
exact/cold/2/beta	4582954956787209023	0.025319105766089974
exact/cold/2/a	4626254690871622529	19.75832187459628
exact/cold/2/surrogate	4737014783093920907	490854642.0872275
exact/cold/2/ratio	4610778873785819186	1.7985734264530149
exact/cold/3/tau	4747124776191511345	2305206570.8060536
exact/cold/3/beta	4581350566310338865	0.0197527581163694
exact/cold/3/a	4629608794353836216	31.67449119596924
exact/cold/3/surrogate	4743798405024504936	1433276422.2009525
exact/cold/3/ratio	4609922172438273012	1.6083475141983827
exact/cold/4/tau	4753471251521725337	6367916367.743066
exact/cold/4/beta	4579910282593515192	0.015190385082543542
exact/cold/4/a	4632515490129175195	52.002298074255314
exact/cold/4/surrogate	4751387612163340573	4380803026.998319
exact/cold/4/ratio	4609225232148567539	1.4535956829143941
exact/cold/5/tau	4760702133539480990	18695552964.161736
exact/cold/5/beta	4577785551823177001	0.011504564735107596
exact/cold/5/a	4635862486053283466	87.56826895838654
exact/cold/5/surrogate	4758667437027405034	14056835463.58443
exact/cold/5/ratio	4608668594437570887	1.3299972822897688
exact/cold/6/tau	4767982554036141575	58576567882.74615
exact/cold/6/beta	4576095509098929340	0.008572807945951381
exact/cold/6/a	4639533646414626936	151.47719097929416
exact/cold/6/surrogate	4766529503084178041	47490668896.207954
exact/cold/6/ratio	4608233708489239429	1.2334332037050626
exact/cold/7/tau	4775752296262932549	196542080004.1896
exact/cold/7/beta	4573889540753123032	0.006279281434609728
exact/cold/7/a	4643450242989445567	269.58712156980977
exact/cold/7/surrogate	4774864167701995131	169438547260.73813
exact/cold/7/ratio	4607902818389940688	1.1599608423326693
exact/cold/8/tau	4784119945675330148	708098270902.5747
exact/cold/8/beta	4571857208601571512	0.00451651428747029
exact/cold/8/a	4647405444825455413	494.41431621315434
exact/cold/8/surrogate	4783564993790115757	640355120851.9899
exact/cold/8/ratio	4607658854476706929	1.1057899716027146
exact/cold/9/tau	4792947213970431515	2744536169723.763
