# phase-6Q combustor-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
A/tilt/1.3/0/eta_c	4605516086937890324	0.815
A/tilt/1.3/1/pi_c	4631743766754717662	46.5188736968846
A/tilt/1.3/1/flowcoef	4604429825547308930	0.6944007593415196
A/tilt/1.3/1/tau_c	4614334562153498521	3.1761896905818046
A/tilt/1.3/1/tt3	4651211991232854323	909.582856124069
A/tilt/1.3/1/eta_c	4605952270117602862	0.8634260609071072
A/tilt/1.3/2/pi_c	4627265560608434785	23.349652616054644
A/tilt/1.3/2/flowcoef	4607582345286468276	1.0888015186830389
A/tilt/1.3/2/tau_c	4613078404695992125	2.6183437178305256
A/tilt/1.3/2/tt3	4649806785379831446	749.8294463459922
A/tilt/1.3/2/eta_c	4605996148800423235	0.8682975733028474
A/tilt/1.3/3/pi_c	4620536441577709408	7.860754847329957
A/tilt/1.3/3/flowcoef	4609358568399273386	1.4832022780245588
A/tilt/1.3/3/tau_c	4611467125087304820	1.951395914780531
A/tilt/1.3/3/tt3	4648126753610695667	558.8319472410934
A/tilt/1.3/3/eta_c	4605647722986351444	0.8296145371872208
A/tilt/1.3/4/pi_c	4609608689419366781	1.5387403011146426
A/tilt/1.3/4/flowcoef	4611134791512078493	1.8776030373660781
A/tilt/1.3/4/tau_c	4607972108247734565	1.1753462814318223
A/tilt/1.3/4/tt3	4644628976404542104	336.5903588093729
A/tilt/1.3/4/eta_c	4604906992675387490	0.7473769525602274
census/A/backpressure_bracket_fails	0	0
census/A/backpressure_calls	0	0
census/A/illinois_calls	0	0
census/A/illinois_evals	0	0
census/A/illinois_exhausted	0	0
census/A/instant_soak_calls	0	0
census/A/phi_max_flat5	0	0
census/A/phi_max_linear	0	0
census/A/phi_max_quadratic	24	24
census/A/phi_max_swirled	0	0
census/A/plenum_state_calls	0	0
census/A/pt4_at_bracket_fails	0	0
census/A/pt4_at_calls	0	0
census/A/pt4_at_floor_fails	0	0
census/A/r34_solve_turbine	0	0
census/A/soak_close_bracket_fails	0	0
census/A/soak_close_calls	0	0
census/A/subsonic_escalations	0	0
census/A/subsonic_raises	0	0
