# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# cpython 3.14.3
eq/flow_dom/1500/Phi	4371764779440578046	1.9171145516081304e-16
eq/flow_dom/1500/sp_thrust	4649771419385843768	745.8087983266514
eq/flow_dom/1500/M9	4607182418800017476	1.000000000000015
eq/flow_dom/1500/pt9_over_p0	4618759410625817152	6.282434304720084
eq/flow_dom/1500/eta_c	4606101554889448489	0.88
eq/flow_dom/1500/eta_t	4606281698874543309	0.9
eq/flow_dom/1500/nu_t	4607182418800026578	1.0000000000020361
eq/flow_dom/1500/p_net_spec	4454060031469420544	5.820766091346741e-11
eq/flow_dom/1500/m	4607182418800049421	1.0000000000071083
eq/flow_dom/1500/thrust	4649771419385890400	745.8087983319529
eq/flow_dom/1500/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/1500/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/1500/V0	4643453651052699634	269.7808475368648
eq/flow_dom/1300/branch	0	0
eq/flow_dom/1300/nu	4606564979858771360	0.9314505071128458
eq/flow_dom/1300/n	4606564979858771360	0.9314505071128458
eq/flow_dom/1300/pi_c	4620500384062345219	7.828729340315479
eq/flow_dom/1300/tau_c	4611226559920763785	1.8979797174172026
eq/flow_dom/1300/mdot_air	4605807665275887167	0.8473716984326031
eq/flow_dom/1300/f	4581979107802813027	0.021933449481610256
eq/flow_dom/1300/pi_t	4601376914612117667	0.4277297790517968
eq/flow_dom/1300/tau_t	4605728356382102296	0.8385666424388516
eq/flow_dom/1300/Tt3	4647992198990159505	543.5348579315051
eq/flow_dom/1300/Tt5	4652509287071290175	1090.1366351705071
eq/flow_dom/1300/flowcoef	4606369370144075845	0.909733466203314
eq/flow_dom/1300/Phi	4371062800029694833	1.7440632661344292e-16
eq/flow_dom/1300/sp_thrust	4648744915611911894	629.108830359032
eq/flow_dom/1300/M9	4607182418800017591	1.0000000000000406
eq/flow_dom/1300/pt9_over_p0	4617209257122387720	4.9056214157515186
eq/flow_dom/1300/eta_c	4606081090862137954	0.8777280365703286
eq/flow_dom/1300/eta_t	4606281698822335039	0.8999999942037177
eq/flow_dom/1300/nu_t	4607184843285236510	1.000538343862622
eq/flow_dom/1300/p_net_spec	4454060031469420544	5.820766091346741e-11
eq/flow_dom/1300/m	4605807665275887173	0.8473716984326037
eq/flow_dom/1300/thrust	4647900316411133053	533.0890180802813
eq/flow_dom/1300/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/1300/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/1300/V0	4643453651052699634	269.7808475368648
eq/flow_dom/1100/branch	0	0
eq/flow_dom/1100/nu	4605913429228176713	0.8591138559333241
eq/flow_dom/1100/n	4605913429228176713	0.8591138559333241
eq/flow_dom/1100/pi_c	4618457129025295304	6.013954310464165
eq/flow_dom/1100/tau_c	4610601486105678936	1.7591854490977052
eq/flow_dom/1100/mdot_air	4604601110646277765	0.7134172254065595
eq/flow_dom/1100/f	4580500894238581464	0.01680486593685057
eq/flow_dom/1100/pi_t	4601348491921335417	0.42615200276538406
eq/flow_dom/1100/tau_t	4605684308782612292	0.8336763765255246
eq/flow_dom/1100/Tt3	4647570341066840716	503.787582330792
eq/flow_dom/1100/Tt5	4651277620273150774	917.0440141780771
eq/flow_dom/1100/flowcoef	4605654892997895089	0.8304105683774791
eq/flow_dom/1100/Phi	4374949526063496111	3.1839843688751384e-16
eq/flow_dom/1100/sp_thrust	4647510215642582066	500.3698476554738
eq/flow_dom/1100/M9	4607182418800016921	0.9999999999999459
eq/flow_dom/1100/pt9_over_p0	4615636914354135104	3.754550250308995
eq/flow_dom/1100/eta_c	4606027852678923951	0.8718174108909887
eq/flow_dom/1100/eta_t	4606281696996463416	0.8999997914912461
eq/flow_dom/1100/nu_t	4607196960223525678	1.0032288446379414
eq/flow_dom/1100/p_net_spec	4458563631096791040	1.1641532182693481e-10
eq/flow_dom/1100/m	4604601110646277764	0.7134172254065594
eq/flow_dom/1100/thrust	4644987542268288047	356.97246839147095
eq/flow_dom/1100/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/1100/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/1100/V0	4643453651052699634	269.7808475368648
eq/flow_dom/900/branch	0	0
eq/flow_dom/900/nu	4605194916994939485	0.779342973451843
eq/flow_dom/900/n	4605194916994939485	0.779342973451843
eq/flow_dom/900/pi_c	4616797070054864266	4.539525757497708
eq/flow_dom/900/tau_c	4609975880396782511	1.6202730766269544
eq/flow_dom/900/mdot_air	4603587706586597564	0.600906773376003
eq/flow_dom/900/f	4578022465986739891	0.01191554529643155
eq/flow_dom/900/pi_t	4601315705959465649	0.4243320162777691
eq/flow_dom/900/tau_t	4605622999037720309	0.8268696274842272
eq/flow_dom/900/Tt3	4646870504594452217	464.00648459674227
eq/flow_dom/900/Tt5	4649757115763512141	744.1826647358045
eq/flow_dom/900/flowcoef	4605120155505048157	0.7710427807085797
eq/flow_dom/900/Phi	13599358924946975560	-3.6954433370033006e-16
eq/flow_dom/900/sp_thrust	4645007219649372867	358.0909980065591
eq/flow_dom/900/M9	4607182418800016467	0.9999999999998955
eq/flow_dom/900/pt9_over_p0	4613536888710150099	2.821951521406825
eq/flow_dom/900/eta_c	4605961584560154380	0.8644601717653315
eq/flow_dom/900/eta_t	4606281692110916195	0.8999992490865448
eq/flow_dom/900/nu_t	4607210014392306869	1.0061274523875856
eq/flow_dom/900/p_net_spec	13683061567858409472	-1.4551915228366852e-10
eq/flow_dom/900/m	4603587706586597554	0.6009067733760018
eq/flow_dom/900/thrust	4641774965338944518	215.17930618711415
eq/flow_dom/900/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/900/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/900/V0	4643453651052699634	269.7808475368648
eq/flow_dom/700/branch	0	0
eq/flow_dom/700/nu	4604370152815660194	0.6877757552796491
eq/flow_dom/700/n	4604370152815660194	0.6877757552796491
eq/flow_dom/700/pi_c	4614777717176605571	3.3729900546345006
eq/flow_dom/700/tau_c	4609349144434752676	1.4811097375457303
eq/flow_dom/700/mdot_air	4602780993892175629	0.5113436726155399
eq/flow_dom/700/f	4575092919939810941	0.007323046497434424
eq/flow_dom/700/pi_t	4601286441299342442	0.4227075013039384
eq/flow_dom/700/tau_t	4605552599983618114	0.8190537624066183
eq/flow_dom/700/Tt3	4646169403759615384	424.15351617845
eq/flow_dom/700/Tt5	4648254346978004021	573.3376336846328
eq/flow_dom/700/flowcoef	4604871841680534016	0.7434744081777467
eq/flow_dom/700/Phi	13596032787108633170	-2.1379884099878577e-16
eq/flow_dom/700/sp_thrust	4641338612912926668	202.77742432558296
eq/flow_dom/700/M9	4607182418800016733	0.9999999999999251
eq/flow_dom/700/pt9_over_p0	4611885885324708011	2.08875873250607
eq/flow_dom/700/eta_c	4605909471467545947	0.858674456235501
eq/flow_dom/700/eta_t	4606281690543179566	0.8999990750328146
eq/flow_dom/700/nu_t	4607213046045506030	1.006800614624463
eq/flow_dom/700/p_net_spec	13679683868137881600	-8.731149137020111e-11
eq/flow_dom/700/m	4602780993892175628	0.5113436726155398
eq/flow_dom/700/thrust	4636996878336003219	103.6889528781633
eq/flow_dom/700/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/700/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/700/V0	4643453651052699634	269.7808475368648
eq/flow_dom/520/branch	1	1
eq/flow_dom/520/nu	4603427751059262923	0.5831481424397053
eq/flow_dom/520/n	4603427751059262923	0.5831481424397053
eq/flow_dom/520/pi_c	4612788463047673620	2.489583760326136
eq/flow_dom/520/tau_c	4608743341708555596	1.3465945105447927
eq/flow_dom/520/mdot_air	4601626624486585175	0.44159146165730107
eq/flow_dom/520/f	4570247612711451446	0.003513331199378379
eq/flow_dom/520/pi_t	4601471517868066808	0.432981314699759
eq/flow_dom/520/tau_t	4605541420572914739	0.8178125984901555
eq/flow_dom/520/Tt3	4645491719977584407	385.63165310128664
