# slice S oracle (main) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
census/C/interp_mid	0	0
census/C/lo_floor_hits	0	0
census/C/march_calls	0	0
census/C/march_points	0	0
census/C/rw_calls	0	0
census/C/rw_interior	0	0
census/C/rw_one	0	0
census/C/rw_zero	0	0
census/C/sched_calls	0	0
census/C/sched_dormant	0	0
census/C/surge_calls	0	0
census/C/surge_dormant	0	0
census/C/topping_calls	0	0
D/exercise/Tt4_peak	4655134271166823809	1686.9889169520177
D/exercise/E_temp	4599969293913266380	0.3495911335616142
D/exercise/E_lp	4582691175672499456	0.02440393118167794
D/exercise/E_hp	4590370809582586352	0.07919205457259415
D/exercise/f	4585275140408808649	0.03548771952004299
D/0/t40/nu_lp	4607182418800017408	1.0
D/0/ft/nu_lp	4607182418800017408	1.0
D/0/t40/nu_hp	4607182418800017408	1.0
D/0/ft/nu_hp	4607182418800017408	1.0
D/0/t40/pi_lpc	4613937818241073153	3.0000000000000004
D/0/ft/pi_lpc	4613937818241073153	3.0000000000000004
D/0/t40/pi_hpc	4618441417868443649	6.000000000000001
D/0/ft/pi_hpc	4618441417868443649	6.000000000000001
D/0/t40/Tt4	4654311885213007872	1500.0
D/0/ft/Tt4	4654311885213007872	1500.0
D/0/t40/mdot_air	4607182418800017409	1.0000000000000002
D/0/ft/mdot_air	4607182418800017409	1.0000000000000002
D/0/t40/f	4583809590202238789	0.028284211062902704
D/0/ft/f	4583809590202238789	0.028284211062902704
D/0/t40/tau_hpt	4605717804202370306	0.8373951151490078
D/0/ft/tau_hpt	4605717804202370306	0.8373951151490078
D/0/t40/tau_lpt	4606513284257310085	0.9257111424114305
D/0/ft/tau_lpt	4606513284257310085	0.9257111424114305
D/0/t40/sp_thrust	4649651320669411054	732.1551550409911
D/0/ft/sp_thrust	4649651320669411054	732.1551550409911
D/1/t40/nu_lp	4606281558955011413	0.8999844658114095
D/1/ft/nu_lp	4606281558955011413	0.8999844658114095
D/1/t40/nu_hp	4606440312872096373	0.917609691211125
D/1/ft/nu_hp	4606440312872096373	0.917609691211125
D/1/t40/pi_lpc	4613089803660787360	2.62340587509955
D/1/ft/pi_lpc	4613089803660787360	2.62340587509955
D/1/t40/pi_hpc	4617521945516958259	5.183344499899749
D/1/ft/pi_hpc	4617521945516958259	5.183344499899749
D/1/t40/Tt4	4653432275910787072	1300.0
D/1/ft/Tt4	4653432275910787072	1300.0
D/1/t40/mdot_air	4605518772844114416	0.815298195493197
D/1/ft/mdot_air	4605518772844114416	0.815298195493197
D/1/t40/f	4582421022801508491	0.02346665012685682
D/1/ft/f	4582421022801508491	0.02346665012685682
D/1/t40/tau_hpt	4605717804202370308	0.837395115149008
D/1/ft/tau_hpt	4605717804202370308	0.837395115149008
D/1/t40/tau_lpt	4606513284257310084	0.9257111424114304
D/1/ft/tau_lpt	4606513284257310084	0.9257111424114304
D/1/t40/sp_thrust	4648704354554194534	624.4975719725014
D/1/ft/sp_thrust	4648704354554194534	624.4975719725014
D/2/t40/nu_lp	4605626110349576165	0.8272150524901433
D/2/ft/nu_lp	4605626110349576165	0.8272150524901433
D/2/t40/nu_hp	4605870894328731186	0.8543915334618701
D/2/ft/nu_hp	4605870894328731186	0.8543915334618701
D/2/t40/pi_lpc	4612500011886859846	2.3614857122400137
D/2/ft/pi_lpc	4612500011886859846	2.3614857122400137
D/2/t40/pi_hpc	4616848174063638795	4.584915235251411
D/2/ft/pi_hpc	4616848174063638795	4.584915235251411
D/2/t40/Tt4	4652772568934121472	1150.0
D/2/ft/Tt4	4652772568934121472	1150.0
D/2/t40/mdot_air	4604413909781534147	0.6926337543797491
D/2/ft/mdot_air	4604413909781534147	0.6926337543797491
D/2/t40/f	4581388105828938437	0.01988299948475249
D/2/ft/f	4581388105828938437	0.01988299948475249
D/2/t40/tau_hpt	4605717804202370308	0.837395115149008
D/2/ft/tau_hpt	4605717804202370308	0.837395115149008
D/2/t40/tau_lpt	4606513284257310085	0.9257111424114305
D/2/ft/tau_lpt	4606513284257310085	0.9257111424114305
D/2/t40/sp_thrust	4647916485097644348	534.9271849198626
D/2/ft/sp_thrust	4647916485097644348	534.9271849198626
census/D/close_calls	1	1
census/D/eq_calls	0	0
census/D/eq_passes	0	0
census/D/hi_wall_hi0	0	0
census/D/hi_wall_literal	0	0
census/D/hi_wall_map	1	1
census/D/illinois_calls	92	92
census/D/illinois_evals	840	840
census/D/illinois_exhausted	0	0
census/D/instant_calls	1	1
census/D/interp_high	0	0
census/D/interp_low	0	0
census/D/interp_mid	0	0
census/D/lo_floor_hits	0	0
census/D/march_calls	0	0
census/D/march_points	0	0
census/D/rw_calls	0	0
census/D/rw_interior	0	0
census/D/rw_one	0	0
census/D/rw_zero	0	0
census/D/sched_calls	0	0
census/D/sched_dormant	0	0
census/D/surge_calls	0	0
census/D/surge_dormant	0	0
census/D/topping_calls	0	0
E/mf_hi	4583084018840604399	0.025766879713855436
E/eq_hi/nu_lp	4606953946993022424	0.9746345339396454
E/eq_lo/nu_lp	4606061404512930931	0.8755424127542838
E/eq_hi/nu_hp	4606998630862290058	0.9795954399886722
E/eq_lo/nu_hp	4606251792691131809	0.896679746659789
E/eq_hi/Tt4	4654091982887452672	1450.0
E/eq_lo/Tt4	4653212373585231872	1250.0
E/npts	701	701
E/first/Tt4	4655134271166823809	1686.9889169520177
E/first/branch_choked	1	1
E/first/f	4585275140408808649	0.03548771952004299
E/first/mdot_air	4604715155694866403	0.7260787692853196
E/first/mf	4583084018840604399	0.025766879713855436
E/first/mf_sched	4583084018840604399	0.025766879713855436
E/first/nu_hp	4606251792691131809	0.896679746659789
E/first/nu_lp	4606061404512930931	0.8755424127542838
E/first/phi_hp	4606251381281849513	0.896634071054014
E/first/phi_lp	4605644801891397880	0.8292902304997645
E/first/pi_hpc	4617739711123105355	5.376759211832517
E/first/pi_lpc	4613027730902062523	2.5958400327242237
E/first/s	0	0.0
E/first/sp_thrust	4649940090563220436	764.9844910973866
E/last/Tt4	4654091982887452732	1450.0000000000136
E/last/branch_choked	1	1
E/last/f	4583461224268703114	0.02707557393663288
E/last/mdot_air	4606747057036101632	0.9516651345659284
E/last/mf	4583084018840604399	0.025766879713855436
E/last/mf_sched	4583084018840604399	0.025766879713855436
E/last/nu_hp	4606998630862289264	0.979595439988584
E/last/nu_lp	4606953946993023171	0.9746345339397283
E/last/phi_hp	4607126787008029334	0.9938236303633683
E/last/phi_lp	4606970144404111029	0.9764328078126342
E/last/pi_hpc	4618209920295535262	5.794388851529815
E/last/pi_lpc	4613719839157711672	2.9031978411061594
E/last/s	4624070917402656650	13.99999999999979
E/last/sp_thrust	4649424252474434948	706.3404900070022
E/at/0/Tt4	4655134271166823809	1686.9889169520177
E/at/0/branch_choked	1	1
E/at/0/f	4585275140408808649	0.03548771952004299
E/at/0/mdot_air	4604715155694866403	0.7260787692853196
E/at/0/mf	4583084018840604399	0.025766879713855436
E/at/0/mf_sched	4583084018840604399	0.025766879713855436
E/at/0/nu_hp	4606251792691131809	0.896679746659789
E/at/0/nu_lp	4606061404512930931	0.8755424127542838
E/at/0/phi_hp	4606251381281849513	0.896634071054014
E/at/0/phi_lp	4605644801891397880	0.8292902304997645
E/at/0/pi_hpc	4617739711123105355	5.376759211832517
E/at/0/pi_lpc	4613027730902062523	2.5958400327242237
E/at/0/s	0	0.0
E/at/0/sp_thrust	4649940090563220436	764.9844910973866
E/at/100/Tt4	4654098270608743413	1451.4296623000384
E/at/100/branch_choked	1	1
E/at/100/f	4583476233483497937	0.027127647611153997
E/at/100/mdot_air	4606730602713119280	0.9498383377429658
E/at/100/mf	4583084018840604399	0.025766879713855436
E/at/100/mf_sched	4583084018840604399	0.025766879713855436
E/at/100/nu_hp	4606994259835669167	0.9791101585490959
E/at/100/nu_lp	4606945188839627384	0.9736621835844081
E/at/100/phi_hp	4607121972027243155	0.9932890601101739
E/at/100/phi_lp	4606962028062730952	0.9755317129050463
E/at/100/pi_hpc	4618209273965847279	5.793814795448937
E/at/100/pi_lpc	4613711483765445238	2.8994873015565714
E/at/100/s	4611686018427387907	2.0000000000000013
E/at/100/sp_thrust	4649427466540513248	706.7058870156725
E/at/200/Tt4	4654091993695913192	1450.0024575593943
E/at/200/branch_choked	1	1
E/at/200/f	4583461250315109010	0.027075664303256426
E/at/200/mdot_air	4606747028427089373	0.9516619583275162
E/at/200/mf	4583084018840604399	0.025766879713855436
E/at/200/mf_sched	4583084018840604399	0.025766879713855436
E/at/200/nu_hp	4606998672702456154	0.9796000851802475
E/at/200/nu_lp	4606953876763112330	0.974626736853325
E/at/200/phi_hp	4607126823184923003	0.9938276468053994
E/at/200/phi_lp	4606970185410349907	0.9764373604196898
E/at/200/pi_hpc	4618210019046972554	5.794476560425332
E/at/200/pi_lpc	4613719724499559803	2.903146922658093
E/at/200/s	4616189618054758403	4.000000000000003
E/at/200/sp_thrust	4649424257975803623	706.34111544021
E/at/300/Tt4	4654091981687415455	1449.9997271431273
E/at/300/branch_choked	1	1
E/at/300/f	4583461221411459545	0.02707556402357789
E/at/300/mdot_air	4606747060174470084	0.9516654829948199
E/at/300/mf	4583084018840604399	0.025766879713855436
E/at/300/mf_sched	4583084018840604399	0.025766879713855436
E/at/300/nu_hp	4606998633326490510	0.9795957135698801
E/at/300/nu_lp	4606953946848336265	0.9746345178762549
E/at/300/phi_hp	4607126789394551505	0.9938238953205546
E/at/300/phi_lp	4606970147769111397	0.9764331814027228
E/at/300/pi_hpc	4618209923713565278	5.794391887350313
E/at/300/pi_lpc	4613719837447922022	2.9031970818070247
E/at/300/s	4618441417868443603	5.99999999999996
E/at/300/sp_thrust	4649424251860090882	706.3404201641681
E/at/400/Tt4	4654091982845190484	1449.999990390691
E/at/400/branch_choked	1	1
E/at/400/f	4583461224168000966	0.02707557358725212
E/at/400/mdot_air	4606747057146711837	0.951665146846128
E/at/400/mf	4583084018840604399	0.025766879713855436
E/at/400/mf_sched	4583084018840604399	0.025766879713855436
E/at/400/nu_hp	4606998630933195174	0.9795954478607214
E/at/400/nu_lp	4606953947005663777	0.9746345353431175
E/at/400/phi_hp	4607126787077777249	0.9938236381069424
E/at/400/phi_lp	4606970144504936015	0.9764328190064563
E/at/400/pi_hpc	4618209920383791907	5.794388929917463
E/at/400/pi_lpc	4613719839129744451	2.9031978286862183
E/at/400/s	4620693217682128803	7.999999999999917
E/at/400/sp_thrust	4649424252452807226	706.3404875482149
E/at/500/Tt4	4654091982886356825	1449.9999997508332
E/at/500/branch_choked	1	1
E/at/500/f	4583461224266091254	0.02707557392757117
E/at/500/mdot_air	4606747057038970465	0.9516651348844328
E/at/500/mf	4583084018840604399	0.025766879713855436
E/at/500/mf_sched	4583084018840604399	0.025766879713855436
E/at/500/nu_hp	4606998630864016241	0.979595440180317
E/at/500/nu_lp	4606953946993475724	0.9746345339899718
E/at/500/phi_hp	4607126787009737386	0.9938236305530002
E/at/500/phi_lp	4606970144406601145	0.9764328080890926
E/at/500/pi_hpc	4618209920297597912	5.794388853361816
E/at/500/pi_lpc	4613719839157213299	2.9031978408848373
E/at/500/s	4621819117588971450	9.999999999999876
E/at/500/sp_thrust	4649424252473874172	706.3404899432494
E/at/600/Tt4	4654091982887427616	1449.999999994303
E/at/600/branch_choked	1	1
E/at/600/f	4583461224268643253	0.027075573936425196
E/at/600/mdot_air	4606747057036167378	0.9516651345732277
E/at/600/mf	4583084018840604399	0.025766879713855436
E/at/600/mf_sched	4583084018840604399	0.025766879713855436
E/at/600/nu_hp	4606998630862327806	0.979595439992863
E/at/600/nu_lp	4606953946993034696	0.9746345339410079
E/at/600/phi_hp	4607126787008067550	0.9938236303676111
E/at/600/phi_lp	4606970144404166944	0.976432807818842
E/at/600/pi_hpc	4618209920295580434	5.794388851569936
E/at/600/pi_lpc	4613719839157702352	2.9031978411020205
E/at/600/s	4622945017495814050	11.999999999999833
E/at/600/sp_thrust	4649424252474422098	706.3404900055414
E/at/700/Tt4	4654091982887452732	1450.0000000000136
E/at/700/branch_choked	1	1
E/at/700/f	4583461224268703114	0.02707557393663288
E/at/700/mdot_air	4606747057036101632	0.9516651345659284
E/at/700/mf	4583084018840604399	0.025766879713855436
E/at/700/mf_sched	4583084018840604399	0.025766879713855436
E/at/700/nu_hp	4606998630862289264	0.979595439988584
E/at/700/nu_lp	4606953946993023171	0.9746345339397283
E/at/700/phi_hp	4607126787008029334	0.9938236303633683
E/at/700/phi_lp	4606970144404111029	0.9764328078126342
E/at/700/pi_hpc	4618209920295535262	5.794388851529815
