# phase-5L rung-41/42 surge-line + bleed oracle — key	u64 bits	repr
# pypy 3.11.15
r42/0.00/cpg/0.30/900/nu_hpt	4606887006119441408	0.9672026040258288
r42/0.00/cpg/0.30/900/nu_lpt	4606516813567740536	0.9261029745815241
r42/0.00/cpg/0.30/900/tau_hpt	4605717804202370307	0.8373951151490079
r42/0.00/cpg/0.30/900/tau_lpt	4606513284257310084	0.9257111424114304
r42/0.00/cpg/0.30/900/tau_lpc	4608410684112116716	1.2727296859682111
r42/0.00/cpg/0.30/900/tau_hpc	4609704943910762999	1.5601130916289756
r42/0.00/cpg/0.30/900/pi_hpt	4601427004634511389	0.4305103338600718
r42/0.00/cpg/0.30/900/pi_lpt	4604376207078889679	0.6884479135231006
r42/0.00/cpg/0.30/900/mdot_air	4601171715999070951	0.4163389678105162
r42/0.00/cpg/0.30/900/mdot_ratio	4601171715999070951	0.4163389678105162
r42/0.00/cpg/0.30/900/thrust	4641295916407572600	201.56391665671595
r42/0.00/cpg/0.30/900/V0	4636389520373051060	95.05787710652913
r42/0.00/cpg/0.30/900/V9	4647061556763753479	474.8665430805999
r42/0.00/cpg/0.30/900/M9	4607182418800017403	0.9999999999999994
r42/0.00/cpg/0.30/900/T9	4648547517783730003	606.6672954999179
r42/0.00/cpg/0.30/900/p9	4679395895841084145	67804.39624721908
r42/0.00/cpg/0.30/900/F_over_mdot	4647224594413260162	484.1341604815899
r42/0.00/cpg/0.30/900/tsfc	4539601657961616624	3.042688993994553e-05
r42/0.00/cpg/0.30/900/eta_th	4595447862608719956	0.17430063831659715
r42/0.00/cpg/0.30/900/eta_p	4601215722181702488	0.4187818016696858
r42/0.00/cpg/0.30/900/s2/Tt	4643158439260848128	254.5
r42/0.00/cpg/0.30/900/s2/pt	4677328081534983276	51624.8688784175
r42/0.00/cpg/0.30/900/s25/Tt	4644405895984950978	323.9097050789097
r42/0.00/cpg/0.30/900/s25/pt	4682310728971793532	110220.80087013723
r42/0.00/cpg/0.30/900/s3/Tt	4647597577096965620	505.3357713992875
r42/0.00/cpg/0.30/900/s3/pt	4691398691929051033	445584.26969074603
r42/0.00/cpg/0.30/900/s4/Tt	4651127699538968576	900.0
r42/0.00/cpg/0.30/900/s4/pt	4691092488750501625	427760.8989031162
r42/0.00/cpg/0.30/900/s45/Tt	4649840440615255304	753.6556036341071
r42/0.00/cpg/0.30/900/s45/pt	4685567547204008735	184155.4873990649
r42/0.00/cpg/0.30/900/s5/Tt	4649347963078442296	697.6673898249055
r42/0.00/cpg/0.30/900/s5/pt	4683448768874698965	126781.46106371593
r42/0.00/cpg/0.30/900/s9/Tt	4649347963078442296	697.6673898249055
r42/0.00/cpg/0.30/900/s9/pt	4683274521761416483	124245.83184244162
r42/0.00/cpg/0.30/900/s2/mdot	4601171715999070951	0.4163389678105162
r42/0.00/cpg/0.30/900/s25/mdot	4601171715999070951	0.4163389678105162
r42/0.00/cpg/0.30/900/s3/mdot	4601171715999070951	0.4163389678105162
r42/0.00/cpg/0.30/900/s4/mdot	4601282197640542022	0.42247193091849444
r42/0.00/cpg/0.30/900/s4/far	4579645290350216338	0.014730696817141262
r42/0.00/cpg/0.30/900/booking_absent	4607182418800017408	1.0
r42/0.00/cpg/0.30/900/bleed	13830554455654793216	-1.0
r42/0.00/cpg/0.30/900/mdot_core	13830554455654793216	-1.0
r42/0.00/cpg/0.30/900/st_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.30/900/tsfc_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1100/abort	0	0.0
r42/0.00/cpg/0.30/1100/n_pass	4620693217682128896	8.0
r42/0.00/cpg/0.30/1100/pi_lpc	4612824329997445511	2.505511885710067
r42/0.00/cpg/0.30/1100/pi_hpc	4617222424252889350	4.917316176912442
r42/0.00/cpg/0.30/1100/eta_lpc	4606246180003192711	0.8960566131217867
r42/0.00/cpg/0.30/1100/eta_hpc	4606091028972153313	0.8788313884263595
r42/0.00/cpg/0.30/1100/eta_hpt	4606461842859638129	0.92
r42/0.00/cpg/0.30/1100/eta_lpt	4606281698874543309	0.9
r42/0.00/cpg/0.30/1100/n_lp	4605992375135374124	0.8678786123203728
r42/0.00/cpg/0.30/1100/n_hp	4606415006693544702	0.914800141001791
r42/0.00/cpg/0.30/1100/N_lp_ratio	4605547718957389624	0.8185118596363514
r42/0.00/cpg/0.30/1100/N_hp_ratio	4605737279206087829	0.8395572749021932
r42/0.00/cpg/0.30/1100/slip	4606956632835956423	0.9749327224062306
r42/0.00/cpg/0.30/1100/phi_lp	4606066364689767522	0.8760931030073034
r42/0.00/cpg/0.30/1100/phi_hp	4606898015186232281	0.9684248559689151
r42/0.00/cpg/0.30/1100/nu_hpt	4607005802737718610	0.9803916781117243
r42/0.00/cpg/0.30/1100/nu_lpt	4606784444057518793	0.955815927765877
r42/0.00/cpg/0.30/1100/tau_hpt	4605717804202370306	0.8373951151490078
r42/0.00/cpg/0.30/1100/tau_lpt	4606513284257310083	0.9257111424114303
r42/0.00/cpg/0.30/1100/tau_lpc	4608690632417548024	1.334890696847138
r42/0.00/cpg/0.30/1100/tau_hpc	4610135644482061056	1.655747829823838
r42/0.00/cpg/0.30/1100/pi_hpt	4601427004634511389	0.4305103338600718
r42/0.00/cpg/0.30/1100/pi_lpt	4604376207078889679	0.6884479135231006
r42/0.00/cpg/0.30/1100/mdot_air	4602994641596750283	0.5350633326932493
r42/0.00/cpg/0.30/1100/mdot_ratio	4602994641596750283	0.5350633326932493
r42/0.00/cpg/0.30/1100/thrust	4644723942961188907	341.9885825666158
r42/0.00/cpg/0.30/1100/V0	4636389520373051060	95.05787710652913
r42/0.00/cpg/0.30/1100/V9	4647829030218768694	524.9847162971625
r42/0.00/cpg/0.30/1100/M9	4607182418800017402	0.9999999999999993
r42/0.00/cpg/0.30/1100/T9	4649733362664785251	741.482250055455
r42/0.00/cpg/0.30/1100/p9	4681387481532765666	96785.78240259693
r42/0.00/cpg/0.30/1100/F_over_mdot	4648833285583409781	639.1553329681761
r42/0.00/cpg/0.30/1100/tsfc	4539608621930805652	3.0450484785332613e-05
r42/0.00/cpg/0.30/1100/eta_th	4595048918967094868	0.16322772790509765
r42/0.00/cpg/0.30/1100/eta_p	4601721250712131009	0.44684427237401897
r42/0.00/cpg/0.30/1100/s2/Tt	4643158439260848128	254.5
r42/0.00/cpg/0.30/1100/s2/pt	4677328081534983276	51624.8688784175
r42/0.00/cpg/0.30/1100/s25/Tt	4644684203968280150	339.7296823475966
r42/0.00/cpg/0.30/1100/s25/pt	4683625052303314756	129346.72257309878
r42/0.00/cpg/0.30/1100/s3/Tt	4648159076939467286	562.5066842737749
r42/0.00/cpg/0.30/1100/s3/pt	4693710743192869621	636038.7313393044
r42/0.00/cpg/0.30/1100/s4/Tt	4652552666608566272	1100.0
r42/0.00/cpg/0.30/1100/s4/pt	4693492201948862289	610597.1820857321
r42/0.00/cpg/0.30/1100/s45/Tt	4651313601681093953	921.1346266639085
r42/0.00/cpg/0.30/1100/s45/pt	4688259657133465834	262868.3967137473
r42/0.00/cpg/0.30/1100/s5/Tt	4650711684691655831	852.7045875637731
r42/0.00/cpg/0.30/1100/s5/pt	4685458135896275311	180971.19924874182
r42/0.00/cpg/0.30/1100/s9/Tt	4650711684691655831	852.7045875637731
r42/0.00/cpg/0.30/1100/s9/pt	4685333773435108712	177351.775263767
r42/0.00/cpg/0.30/1100/s2/mdot	4602994641596750283	0.5350633326932493
r42/0.00/cpg/0.30/1100/s25/mdot	4602994641596750283	0.5350633326932493
r42/0.00/cpg/0.30/1100/s3/mdot	4602994641596750283	0.5350633326932493
r42/0.00/cpg/0.30/1100/s4/mdot	4603088440030931722	0.5454770508234514
r42/0.00/cpg/0.30/1100/s4/far	4581266930970650400	0.01946258974201165
r42/0.00/cpg/0.30/1100/booking_absent	4607182418800017408	1.0
r42/0.00/cpg/0.30/1100/bleed	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1100/mdot_core	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1100/st_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1100/tsfc_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1500/abort	0	0.0
r42/0.00/cpg/0.30/1500/n_pass	4620693217682128896	8.0
r42/0.00/cpg/0.30/1500/pi_lpc	4614752498423319910	3.3617906784144678
r42/0.00/cpg/0.30/1500/pi_hpc	4619281895855931130	6.746494410719373
r42/0.00/cpg/0.30/1500/eta_lpc	4606264629286756852	0.8981048950618615
r42/0.00/cpg/0.30/1500/eta_hpc	4606097186400924224	0.879515000345755
r42/0.00/cpg/0.30/1500/eta_hpt	4606461842859638129	0.92
r42/0.00/cpg/0.30/1500/eta_lpt	4606281698874543309	0.9
r42/0.00/cpg/0.30/1500/n_lp	4607606859418017067	1.0942447493378704
r42/0.00/cpg/0.30/1500/n_hp	4607426857520731908	1.0542762991694312
r42/0.00/cpg/0.30/1500/N_lp_ratio	4607326542170240155	1.0320018168015739
r42/0.00/cpg/0.30/1500/N_hp_ratio	4607237465173070211	1.0122227501570655
r42/0.00/cpg/0.30/1500/slip	4607270420178326799	1.019540231279567
r42/0.00/cpg/0.30/1500/phi_lp	4607566018869691380	1.0851763259199716
r42/0.00/cpg/0.30/1500/phi_hp	4607286966541346303	1.0232142619191789
r42/0.00/cpg/0.30/1500/nu_hpt	4607237465173070211	1.0122227501570655
r42/0.00/cpg/0.30/1500/nu_lpt	4607326542170240157	1.0320018168015743
r42/0.00/cpg/0.30/1500/tau_hpt	4605717804202370306	0.8373951151490078
r42/0.00/cpg/0.30/1500/tau_lpt	4606513284257310085	0.9257111424114305
r42/0.00/cpg/0.30/1500/tau_lpc	4609258435498173119	1.4609683075597528
r42/0.00/cpg/0.30/1500/tau_hpc	4610896655121095647	1.8247261365120193
r42/0.00/cpg/0.30/1500/pi_hpt	4601427004634511389	0.4305103338600718
r42/0.00/cpg/0.30/1500/pi_lpt	4604376207078889679	0.6884479135231006
