# phase-3A NOx oracle — key	u64 bits	repr
# cpython 3.14.3
tno/0.0677/2000.0/101325.0/0.003/1.0/x_no_eq	4560180462745580051	0.0007634127134710809
tno/0.0677/2000.0/101325.0/0.003/1.0/initial_rate	4563862459681981308	0.0013486687424484048
tno/0.0677/2000.0/101325.0/0.003/1.0/char_time	4614949114800571792	3.449105890031838
tno/0.0677/2000.0/101325.0/0.003/1.0/ei_no	4577435525830322742	0.010897366428101223
tno/0.0677/2000.0/101325.0/0.003/1.0/frac_eq	4561159715002142811	0.0008695834558687486
tno/0.0677/2000.0/1500000.0/0.003/1.0/x_no	4520233532617041641	1.615017813520081e-06
tno/0.0677/2000.0/1500000.0/0.003/1.0/x_no_eq	4557543956399715114	0.0004829216863376113
tno/0.0677/2000.0/1500000.0/0.003/1.0/initial_rate	4587169142070702358	0.048629996105747406
tno/0.0677/2000.0/1500000.0/0.003/1.0/char_time	4606243654872173875	0.8957762672620561
tno/0.0677/2000.0/1500000.0/0.003/1.0/ei_no	4583287293800458603	0.026472131403730097
tno/0.0677/2000.0/1500000.0/0.003/1.0/frac_eq	4569857771261348185	0.003344264420527637
tno/0.0677/2400.0/101325.0/0.003/1.0/x_no	4555994475777420969	0.0003989241734918361
tno/0.0677/2400.0/101325.0/0.003/1.0/x_no_eq	4571736435097385003	0.00441175997097613
tno/0.0677/2400.0/101325.0/0.003/1.0/initial_rate	4604383693415951198	0.6892790639006809
tno/0.0677/2400.0/101325.0/0.003/1.0/char_time	4584844614399539141	0.03250034521884929
tno/0.0677/2400.0/101325.0/0.003/1.0/ei_no	4619155313422038241	6.634066624622592
tno/0.0677/2400.0/101325.0/0.003/1.0/frac_eq	4591180077982352793	0.09042290970412238
tno/0.0677/2400.0/1500000.0/0.003/1.0/x_no	4561629634132987731	0.0009205321901242048
tno/0.0677/2400.0/1500000.0/0.003/1.0/x_no_eq	4568913236149063011	0.002934637612236267
tno/0.0677/2400.0/1500000.0/0.003/1.0/initial_rate	4628077651875354066	26.234780368473203
tno/0.0677/2400.0/1500000.0/0.003/1.0/char_time	4576000840572813136	0.008408584231261479
tno/0.0677/2400.0/1500000.0/0.003/1.0/ei_no	4624729319718488364	15.16955745680442
tno/0.0677/2400.0/1500000.0/0.003/1.0/frac_eq	4599322346142009322	0.31367831799263846
tno/0.0677/2800.0/101325.0/0.003/1.0/x_no	4578497091430679994	0.012738889196330361
tno/0.0677/2800.0/101325.0/0.003/1.0/x_no_eq	4578741955632205914	0.01316366087514369
tno/0.0677/2800.0/101325.0/0.003/1.0/initial_rate	4631918463301768690	47.7601673215794
tno/0.0677/2800.0/101325.0/0.003/1.0/char_time	4563174985965740993	0.0011995966431135182
tno/0.0677/2800.0/101325.0/0.003/1.0/ei_no	4641944556789125163	219.99938510602928
tno/0.0677/2800.0/101325.0/0.003/1.0/frac_eq	4606891769930745262	0.9677314933252796
tno/0.0677/2800.0/1500000.0/0.003/1.0/x_no	4576799051130368951	0.009793258824226088
tno/0.0677/2800.0/1500000.0/0.003/1.0/x_no_eq	4576799065623953691	0.009793283966587787
tno/0.0677/2800.0/1500000.0/0.003/1.0/initial_rate	4656737304577732076	2054.9530308970625
tno/0.0677/2800.0/1500000.0/0.003/1.0/char_time	4554299910156286045	0.0003070615870991495
tno/0.0677/2800.0/1500000.0/0.003/1.0/ei_no	4639975960286852448	164.0485073327245
tno/0.0677/2800.0/1500000.0/0.003/1.0/frac_eq	4607182395675776108	0.9999974326934882
tno/0.1354/1600.0/101325.0/0.003/1.0/x_no	4396891993088183259	9.280721992149244e-15
tno/0.1354/1600.0/101325.0/0.003/1.0/x_no_eq	4489373908289189796	1.371842493725482e-08
tno/0.1354/1600.0/101325.0/0.003/1.0/initial_rate	4447841499809151815	2.356258620103226e-11
tno/0.1354/1600.0/101325.0/0.003/1.0/char_time	4661597788690075083	4434.490610021584
tno/0.1354/1600.0/101325.0/0.003/1.0/ei_no	4456971852930401489	9.58420712218935e-11
tno/0.1354/1600.0/101325.0/0.003/1.0/frac_eq	4514492731722062182	6.765151272538434e-07
tno/0.1354/1600.0/1500000.0/0.003/1.0/x_no	4396891853324732196	9.280501484304199e-15
tno/0.1354/1600.0/1500000.0/0.003/1.0/x_no_eq	4480694973276913460	3.56537314289429e-09
tno/0.1354/1600.0/1500000.0/0.003/1.0/initial_rate	4465310572346057448	3.488086872142173e-10
tno/0.1354/1600.0/1500000.0/0.003/1.0/char_time	4652783725738429246	1152.5367636016595
tno/0.1354/1600.0/1500000.0/0.003/1.0/ei_no	4456971621117504097	9.583907511041753e-11
tno/0.1354/1600.0/1500000.0/0.003/1.0/frac_eq	4523256477086170905	2.6029537757639852e-06
tno/0.1354/2000.0/101325.0/0.003/1.0/x_no	4477097332518690615	2.077423799828034e-09
tno/0.1354/2000.0/101325.0/0.003/1.0/x_no_eq	4523437301625594723	2.679535947046014e-06
tno/0.1354/2000.0/101325.0/0.003/1.0/initial_rate	4526595568895038152	4.2195310619204876e-06
tno/0.1354/2000.0/101325.0/0.003/1.0/char_time	4615895617338038516	3.8694374540165146
tno/0.1354/2000.0/101325.0/0.003/1.0/ei_no	4536955083048150671	2.1459945343616087e-05
tno/0.1354/2000.0/101325.0/0.003/1.0/frac_eq	4560290033323272339	0.000775292379308528
tno/0.1354/2000.0/1500000.0/0.003/1.0/x_no	4477093946517026392	2.0760233823626754e-09
tno/0.1354/2000.0/1500000.0/0.003/1.0/x_no_eq	4514675917013309849	6.95910624396237e-07
tno/0.1354/2000.0/1500000.0/0.003/1.0/initial_rate	4544234691742521263	6.242656339047638e-05
tno/0.1354/2000.0/1500000.0/0.003/1.0/char_time	4607207491435983006	1.0055672435474103
tno/0.1354/2000.0/1500000.0/0.003/1.0/ei_no	4536949373817142048	2.144060171654493e-05
tno/0.1354/2000.0/1500000.0/0.003/1.0/frac_eq	4569025156425997149	0.0029831752951951355
tno/0.1354/2400.0/101325.0/0.003/1.0/x_no	4530283551700490421	7.343374007045906e-06
tno/0.1354/2400.0/101325.0/0.003/1.0/x_no_eq	4546217041171794416	8.929240786351828e-05
tno/0.1354/2400.0/101325.0/0.003/1.0/initial_rate	4578358579265860994	0.012498608892310473
tno/0.1354/2400.0/101325.0/0.003/1.0/char_time	4585388799555713189	0.0362763882816222
tno/0.1354/2400.0/101325.0/0.003/1.0/ei_no	4590146016601272917	0.0760724252772403
tno/0.1354/2400.0/101325.0/0.003/1.0/frac_eq	4590590410069533891	0.08223962353294482
tno/0.1354/2400.0/1500000.0/0.003/1.0/x_no	4529924833717254134	7.039528056472155e-06
tno/0.1354/2400.0/1500000.0/0.003/1.0/x_no_eq	4537440577179286581	2.310486344269895e-05
tno/0.1354/2400.0/1500000.0/0.003/1.0/initial_rate	4595812579209465149	0.1844235575068555
tno/0.1354/2400.0/1500000.0/0.003/1.0/char_time	4576582406092610030	0.009417439591271805
tno/0.1354/2400.0/1500000.0/0.003/1.0/ei_no	4589907025998498423	0.0727557644038742
tno/0.1354/2400.0/1500000.0/0.003/1.0/frac_eq	4599160198720480102	0.3046773279543714
tno/0.1354/2800.0/101325.0/0.003/1.0/x_no	4562405325866715634	0.0010327032128257777
tno/0.1354/2800.0/101325.0/0.003/1.0/x_no_eq	4562551581027789467	0.001064417245500471
tno/0.1354/2800.0/101325.0/0.003/1.0/initial_rate	4615065635249292514	3.500851364035598
tno/0.1354/2800.0/101325.0/0.003/1.0/char_time	4563745527620688850	0.0013233131434711065
