# slice S oracle (gas) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
T/tpg/at/10/phi_hp	4606814158534866391	0.9591148974574776
T/tpg/at/10/phi_lp	4606278973108105797	0.8996973791341324
T/tpg/at/10/pi_hpc	4617680083206327827	5.323798982939041
T/tpg/at/10/pi_lpc	4613160185105438765	2.6546615152428985
T/tpg/at/10/s	4596373779694328217	0.19999999999999998
T/tpg/at/10/sp_thrust	4649055819730447537	664.4545364299757
T/tpg/at/20/Tt4	4654257752566949987	1487.691661304351
T/tpg/at/20/branch_choked	1	1
T/tpg/at/20/f	4582824190363760005	0.024865418596836903
T/tpg/at/20/mdot_air	4605681026293617100	0.8333119470394705
T/tpg/at/20/mf	4581629542262966538	0.020720650384881835
T/tpg/at/20/mf_sched	4581629542262966538	0.020720650384881835
T/tpg/at/20/nu_hp	4606610026065207572	0.9364516406685959
T/tpg/at/20/nu_lp	4606452774727733168	0.9189932351168775
T/tpg/at/20/phi_hp	4606767875549287716	0.9539764538336937
T/tpg/at/20/phi_lp	4606342642831462167	0.906766138418308
T/tpg/at/20/pi_hpc	4617880037876371605	5.501394405790184
T/tpg/at/20/pi_lpc	4613299224915599848	2.7164075946750366
T/tpg/at/20/s	4600877379321698715	0.4000000000000001
T/tpg/at/20/sp_thrust	4649407790152789960	704.4689407176274
T/tpg/at/30/Tt4	4654348101237504591	1508.2345705997611
T/tpg/at/30/branch_choked	1	1
T/tpg/at/30/f	4582945900728777154	0.025287686251766812
T/tpg/at/30/mdot_air	4605992582397601964	0.8679016230501211
T/tpg/at/30/mf	4581983078020450352	0.021947223941090666
T/tpg/at/30/mf_sched	4581983078020450352	0.021947223941090666
T/tpg/at/30/nu_hp	4606742911600605119	0.9512048987723957
T/tpg/at/30/nu_lp	4606613343126786950	0.9368199084825484
T/tpg/at/30/phi_hp	4606841212010561790	0.9621184366187945
T/tpg/at/30/phi_lp	4606519793333196915	0.9264337950032896
T/tpg/at/30/pi_hpc	4618034630810291491	5.638700513535954
T/tpg/at/30/pi_lpc	4613444720327116298	2.7810205370121865
T/tpg/at/30/s	4603579539098121013	0.6000000000000002
T/tpg/at/30/sp_thrust	4649530945551012117	718.4700884898508
T/tpg/at/40/Tt4	4654253062985343694	1486.6253738982373
T/tpg/at/40/branch_choked	1	1
T/tpg/at/40/f	4582709977900667723	0.02446916451488627
T/tpg/at/40/mdot_air	4606254082189138262	0.8969339319999488
T/tpg/at/40/mf	4581983078020450352	0.021947223941090666
T/tpg/at/40/mf_sched	4581983078020450352	0.021947223941090666
T/tpg/at/40/nu_hp	4606837194277036354	0.9616723785921197
T/tpg/at/40/nu_lp	4606729049153990421	0.9496658580314682
T/tpg/at/40/phi_hp	4606944394224587397	0.9735739635930974
T/tpg/at/40/phi_lp	4606682277660020373	0.9444731790813018
T/tpg/at/40/pi_hpc	4618100400646295844	5.697115862542237
T/tpg/at/40/pi_lpc	4613535239766741483	2.8212192434314054
T/tpg/at/40/s	4605380978949069213	0.8000000000000004
T/tpg/at/40/sp_thrust	4649484499796402622	713.1898175227032
T/tpg/at/50/Tt4	4654194194464935211	1473.2402220450556
T/tpg/at/50/branch_choked	1	1
T/tpg/at/50/f	4582563052520603805	0.023959414702858884
T/tpg/at/50/mdot_air	4606425964464443301	0.9160166979568102
T/tpg/at/50/mf	4581983078020450352	0.021947223941090666
T/tpg/at/50/mf_sched	4581983078020450352	0.021947223941090666
T/tpg/at/50/nu_hp	4606898089460442867	0.968433102062788
T/tpg/at/50/nu_lp	4606805441195507030	0.9581470783704542
T/tpg/at/50/phi_hp	4607009782706421009	0.9808335434007934
T/tpg/at/50/phi_lp	4606786366106615569	0.956029318082047
