# slice R oracle (equil) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
P/shaped/1450/Tt5	4652652902746033152	1122.7910589880776
P/shaped/1450/branch_choked	1	1
P/shaped/1450/eta_hpc	4606101235373493673	0.8799645266030228
P/shaped/1450/eta_hpt	4606461842859638129	0.92
P/shaped/1450/eta_lpc	4606280406495147386	0.8998565170638095
P/shaped/1450/eta_lpt	4606281698874543309	0.9
P/shaped/1450/f	4582218146507399862	0.02276278158663799
P/shaped/1450/m_hp	4606993253814910131	0.9789984678081026
P/shaped/1450/m_imp	4606744758731904357	0.9514099715421876
P/shaped/1450/m_lp	4606744758731904293	0.9514099715421805
P/shaped/1450/mdot4	4606939825280707703	0.9730667089237518
P/shaped/1450/mdot_air	4606744758731904356	0.9514099715421875
P/shaped/1450/n_hp	4607050581605127104	0.985363131073079
P/shaped/1450/n_lp	4606951021238338024	0.9743097099181428
P/shaped/1450/nu_hp	4607005252514796807	0.9803305910960781
P/shaped/1450/nu_hpt	4607156204183876813	0.9970895929579001
P/shaped/1450/nu_lp	4606951021238338024	0.9743097099181428
P/shaped/1450/nu_lpt	4607107637507862089	0.9916976087637944
P/shaped/1450/phi_hp	4607124239446224718	0.9935407941861543
P/shaped/1450/phi_lp	4606970717629091933	0.9764964485698432
P/shaped/1450/pi_hpc	4618208232646056816	5.792889917683041
P/shaped/1450/pi_hpt	4601473739543083882	0.4331046424376185
P/shaped/1450/pi_lpc	4613713919336696357	2.9005689124690144
P/shaped/1450/pi_lpt	4604375745067589146	0.6883966199647518
P/shaped/1450/pt4	4698144868536836769	1255901.7205564159
P/shaped/1450/slip	4607127099424134066	0.993858315518642
P/shaped/1450/sp_thrust	4649384854250746076	701.8614305439655
P/shaped/1450/tau_hpc	4610387275658477961	1.7116211749781505
P/shaped/1450/tau_hpt	4605723220204471240	0.8379964121723953
P/shaped/1450/tau_lpc	4608955668158948561	1.393740453337433
P/shaped/1450/tau_lpt	4606498193859137750	0.9240357716612617
P/shaped/1450/exit_noise	1	1
P/shaped/1450/passes	80	80
P/shaped/1450/powers_calls	240	240
P/shaped/1400/M9	4607182418800016743	0.9999999999999262
P/shaped/1400/Pc_hp	4688636973823852649	284831.1186847748
P/shaped/1400/Pc_lp	4682265415221524520	109561.39901754318
P/shaped/1400/Phi_hp	4426576099877932550	8.628109153421344e-13
P/shaped/1400/Phi_lp	13642161381721493192	-2.656484702738867e-13
P/shaped/1400/Pt_hp	4688636973823857464	284831.11868505506
P/shaped/1400/Pt_lp	4682265415221522262	109561.39901751032
P/shaped/1400/Tt2	4643745586963694955	286.3754828060834
P/shaped/1400/Tt25	4645657321576752411	395.04501416681313
P/shaped/1400/Tt3	4649099730986140737	669.446668230121
P/shaped/1400/Tt4	4653872080561897472	1400.0
