cb/cpg/flow_press/1300/0.05/lp/phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.05/lp/phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.05/lp/phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.05/lp/m_phi/feasible	0x1.0000000000000p+5
cb/cpg/flow_press/1300/0.05/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.05/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.05/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.05/lp/m_phi/b_star	0x1.ff04eb47ae146p-7
cb/cpg/flow_press/1300/0.05/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.05/lp/m_phi/resid	0x1.0670000000000p-38
cb/cpg/flow_press/1300/0.05/lp/m_phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.05/lp/m_phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.05/lp/m_phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.05/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.05/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.05/hp/phi/goal	0x1.f371975b79861p-1
cb/cpg/flow_press/1300/0.05/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.05/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1300/0.05/hp/phi/resid_last	-0x1.5465af52d9600p-9
cb/cpg/flow_press/1300/0.05/hp/m_phi/feasible	0x1.4800000000000p+5
cb/cpg/flow_press/1300/0.05/hp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.05/hp/m_phi/goal	0x1.b3affb83bfd8ep-2
cb/cpg/flow_press/1300/0.05/hp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.05/hp/m_phi/b_star	0x1.194118d70a3d8p-2
cb/cpg/flow_press/1300/0.05/hp/m_phi/goal	0x1.b3affb83bfd8ep-2
cb/cpg/flow_press/1300/0.05/hp/m_phi/resid	0x1.016d000000000p-37
cb/cpg/flow_press/1300/0.05/hp/m_phi/bare_phi	0x1.f371975b79861p-1
cb/cpg/flow_press/1300/0.05/hp/m_phi/bare_m_phi	0x1.b3affb83bfd8ep-2
cb/cpg/flow_press/1300/0.05/hp/m_phi/bare_m_i	0x1.960981acd488ap-1
cb/cpg/flow_press/1300/0.10/lp/phi/feasible	0x1.0000000000000p+5
cb/cpg/flow_press/1300/0.10/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.10/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.10/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.10/lp/phi/b_star	0x1.2c9478b851eb8p-4
cb/cpg/flow_press/1300/0.10/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.10/lp/phi/resid	-0x1.d3cc000000000p-39
cb/cpg/flow_press/1300/0.10/lp/phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.10/lp/phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.10/lp/phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.10/lp/m_phi/feasible	0x1.a000000000000p+4
cb/cpg/flow_press/1300/0.10/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.10/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.10/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.10/lp/m_phi/b_star	0x1.0b50a147ae146p-5
cb/cpg/flow_press/1300/0.10/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.10/lp/m_phi/resid	-0x1.5af3000000000p-37
cb/cpg/flow_press/1300/0.10/lp/m_phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.10/lp/m_phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.10/lp/m_phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.10/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.10/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.10/hp/phi/goal	0x1.f371975b79861p-1
cb/cpg/flow_press/1300/0.10/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.10/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1300/0.10/hp/phi/resid_last	-0x1.1f7e4e643e720p-5
cb/cpg/flow_press/1300/0.10/hp/m_phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.10/hp/m_phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.10/hp/m_phi/goal	0x1.b3affb83bfd8ep-2
cb/cpg/flow_press/1300/0.10/hp/m_phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.10/hp/m_phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1300/0.10/hp/m_phi/resid_last	-0x1.a4d592eb98d00p-8
cb/cpg/flow_press/1300/0.20/lp/phi/feasible	0x1.4000000000000p+5
cb/cpg/flow_press/1300/0.20/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.20/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.20/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.20/lp/phi/b_star	0x1.359e5f2d70a3dp-3
cb/cpg/flow_press/1300/0.20/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.20/lp/phi/resid	-0x1.5d24000000000p-39
cb/cpg/flow_press/1300/0.20/lp/phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.20/lp/phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.20/lp/phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.20/lp/m_phi/feasible	0x1.1800000000000p+5
cb/cpg/flow_press/1300/0.20/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.20/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.20/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.20/lp/m_phi/b_star	0x1.23218ffd70a40p-4
cb/cpg/flow_press/1300/0.20/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.20/lp/m_phi/resid	-0x1.bd0b000000000p-38
cb/cpg/flow_press/1300/0.20/lp/m_phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.20/lp/m_phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.20/lp/m_phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.20/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.20/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.20/hp/phi/goal	0x1.f371975b79861p-1
cb/cpg/flow_press/1300/0.20/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.20/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1300/0.20/hp/phi/resid_last	-0x1.8d1bb98242138p-4
cb/cpg/flow_press/1300/0.20/hp/m_phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.20/hp/m_phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.20/hp/m_phi/goal	0x1.b3affb83bfd8ep-2
cb/cpg/flow_press/1300/0.20/hp/m_phi/has_last	0x1.0000000000000p+0
