# phase-2 cycle oracle — key	u64 bits	repr
# cpython 3.14.3
r3_lossy/eta_propulsive	4601188122541927876	0.4172497138922291
r3_lossy/eta_overall	4595759333986066087	0.18294570568263177
r3_flat/st0/Tt	4645570262220698070	390.096262724864
r3_flat/st0/pt	4690464884072994217	391229.4986470589
r3_flat/st0/mdot	4607182418800017408	1.0
r3_flat/st0/far	0	0.0
r3_flat/st2/Tt	4645570262220698070	390.096262724864
r3_flat/st2/pt	4689649929890563214	343792.921936103
r3_flat/st2/mdot	4607182418800017408	1.0
r3_flat/st2/far	0	0.0
r3_flat/st3/Tt	4650339073631295980	810.3436144113634
r3_flat/st3/pt	4704637308128986546	3437929.2193610305
r3_flat/st3/mdot	4607182418800017408	1.0
r3_flat/st3/far	0	0.0
r3_flat/st4/Tt	4655631299166339072	1800.0
r3_flat/st4/pt	4704194334322092993	3231653.4661993687
r3_flat/st4/mdot	4607343064893724305	1.0356705984098975
r3_flat/st4/far	4585301496034415148	0.035670598409897586
r3_flat/st5/Tt	4654170567757089311	1467.8681306435099
r3_flat/st5/pt	4697948789976921847	1210248.6232447007
r3_flat/st5/mdot	4607343064893724305	1.0356705984098975
r3_flat/st5/far	4585301496034415148	0.035670598409897586
r3_flat/st9/Tt	4654170567757089311	1467.8681306435099
r3_flat/st9/pt	4697740870846647246	1161838.6783149126
r3_flat/st9/mdot	4607343064893724305	1.0356705984098975
r3_flat/st9/far	4585301496034415148	0.035670598409897586
r3_flat/V0	4648401504743919882	590.0675347377849
r3_flat/V9	4653229011505591268	1253.7830251038476
r3_flat/M9	4612254972697411960	2.252666452215802
r3_flat/T9	4650542732211102838	833.4969143244805
r3_flat/p9	4681608360884174848	100000.0
r3_flat/F	4650308427921241011	806.8596005454805
r3_flat/tsfc	4541648947664052628	4.4209176399193046e-05
r3_flat/eta_brayton	4602846388128084505	0.5186038912539203
r3_flat/eta_thermal	4601222540274446928	0.41916028184713117
r3_flat/eta_propulsive	4604876459571241300	0.7439870970365896
r3_flat/eta_overall	4599289407233923354	0.3118498412844858
r4_ideal/st0/Tt	4643745586963694955	286.3754828060834
r4_ideal/st0/pt	4680252283798733269	80266.48120952335
r4_ideal/st0/mdot	4607182418800017408	1.0
r4_ideal/st0/far	0	0.0
r4_ideal/st2/Tt	4643745586963694955	286.3754828060834
r4_ideal/st2/pt	4680252283798733269	80266.48120952335
r4_ideal/st2/mdot	4607182418800017408	1.0
r4_ideal/st2/far	0	0.0
r4_ideal/st3/Tt	4648036624022756142	548.5853994030965
r4_ideal/st3/pt	4695142050327884362	802664.8120952335
r4_ideal/st3/mdot	4607182418800017408	1.0
r4_ideal/st3/far	0	0.0
r4_ideal/st4/Tt	4654311885213007872	1500.0
r4_ideal/st4/pt	4695142050327884362	802664.8120952335
r4_ideal/st4/mdot	4607307671193281228	1.0278116181781796
r4_ideal/st4/far	4583673374577308390	0.027811618178179474
r4_ideal/st5/Tt	4653405795174823014	1293.9789777354104
r4_ideal/st5/pt	4690952748386249969	419626.93916483136
r4_ideal/st5/mdot	4607307671193281228	1.0278116181781796
r4_ideal/st5/far	4583673374577308390	0.027811618178179474
r4_ideal/st9/Tt	4653405795174823014	1293.9789777354104
r4_ideal/st9/pt	4690952748386249969	419626.93916483136
r4_ideal/st9/mdot	4607307671193281228	1.0278116181781796
r4_ideal/st9/far	4583673374577308390	0.027811618178179474
r4_ideal/V0	4643453651052699634	269.7808475368648
r4_ideal/V9	4652618211227880170	1114.9031209989284
r4_ideal/M9	4611779960540286633	2.041718678688842
r4_ideal/T9	4650032828721497804	775.5275990480673
r4_ideal/p9	4677104761256804352	50000.0
r4_ideal/F	4650917732693998317	876.1295333689465
r4_ideal/tsfc	4539809372270363563	3.174372865988954e-05
r4_ideal/eta_brayton	4602282045816692546	0.4779746542330835
r4_ideal/eta_thermal	4602733528444341722	0.5060739493096051
r4_ideal/eta_propulsive	4600739923453249768	0.3923696664989067
r4_ideal/eta_overall	4596322188860636435	0.1985680667143944
r4_cold/st0/Tt	4643745586963694955	286.3754828060834
r4_cold/st0/pt	4680252283798733269	80266.48120952335
r4_cold/st0/mdot	4607182418800017408	1.0
r4_cold/st0/far	0	0.0
r4_cold/st2/Tt	4643745586963694955	286.3754828060834
r4_cold/st2/pt	4680252283798733269	80266.48120952335
r4_cold/st2/mdot	4607182418800017408	1.0
r4_cold/st2/far	0	0.0
r4_cold/st3/Tt	4648036624022756142	548.5853994030965
r4_cold/st3/pt	4695142050327884362	802664.8120952335
r4_cold/st3/mdot	4607182418800017408	1.0
r4_cold/st3/far	0	0.0
r4_cold/st4/Tt	4653872080561897472	1400.0
r4_cold/st4/pt	4695142050327884362	802664.8120952335
r4_cold/st4/mdot	4607292714233916942	1.024490506045257
r4_cold/st4/far	4582716129177994123	0.02449050604525697
r4_cold/st5/Tt	4652947027850902828	1189.6673651224219
r4_cold/st5/pt	4690575594236925796	397673.67832886265
r4_cold/st5/mdot	4607292714233916942	1.024490506045257
r4_cold/st5/far	4582716129177994123	0.02449050604525697
r4_cold/st9/Tt	4652947027850902828	1189.6673651224219
r4_cold/st9/pt	4690575594236925796	397673.67832886265
r4_cold/st9/mdot	4607292714233916942	1.024490506045257
r4_cold/st9/far	4582716129177994123	0.02449050604525697
r4_cold/V0	4643453651052699634	269.7808475368648
r4_cold/V9	4652359667299126278	1056.117037654623
r4_cold/M9	4611703157514318019	2.0076112835723463
r4_cold/T9	4649501089206415042	715.0758150866825
r4_cold/p9	4677104761256804352	50000.0
r4_cold/F	4650355411638745199	812.2010308129373
r4_cold/tsfc	4539520895637236065	3.015325654135684e-05
r4_cold/eta_brayton	4602282045816692546	0.4779746542330835
r4_cold/eta_thermal	4602772157641852457	0.5103626517595262
r4_cold/eta_propulsive	4601050220530770224	0.40959461449576207
r4_cold/eta_overall	4596699544640647207	0.209041793600478
r4_hot/st0/Tt	4643745586963694955	286.3754828060834
r4_hot/st0/pt	4680252283798733269	80266.48120952335
r4_hot/st0/mdot	4607182418800017408	1.0
r4_hot/st0/far	0	0.0
r4_hot/st2/Tt	4643745586963694955	286.3754828060834
r4_hot/st2/pt	4680252283798733269	80266.48120952335
r4_hot/st2/mdot	4607182418800017408	1.0
r4_hot/st2/far	0	0.0
r4_hot/st3/Tt	4648036624022756142	548.5853994030965
