# slice S smoke — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
B/1/pi_lpc	4613347354788836304	2.737781552050798
B/1/pi_lpt	4604376207078889679	0.6884479135231006
B/1/pt4	4697804103327649733	1176561.1375665527
B/1/slip	4606903845627190367	0.9690721649484536
B/1/sp_thrust	4649198605160857682	680.687360486025
B/1/tau_hpc	4610502727703882860	1.737256678787868
B/1/tau_hpt	4605717804202370307	0.8373951151490079
B/1/tau_lpc	4608851684171261636	1.3706513698729603
B/1/tau_lpt	4606513284257310083	0.9257111424114303
census/B/close_calls	2	2
census/B/eq_calls	0	0
census/B/eq_passes	0	0
census/B/hi_wall_hi0	0	0
census/B/hi_wall_literal	0	0
census/B/hi_wall_map	2	2
census/B/illinois_calls	2	2
census/B/illinois_evals	13	13
census/B/illinois_exhausted	0	0
census/B/instant_calls	2	2
census/B/march_calls	0	0
census/B/rw_calls	0	0
census/B/rw_interior	0	0
census/B/rw_one	0	0
census/B/rw_zero	0	0
census/B/sched_calls	0	0
census/B/sched_dormant	0	0
census/B/surge_calls	0	0
census/B/surge_dormant	0	0
census/B/topping_calls	0	0
C/cpg/0/mf	4583809590202238791	0.02828421106290271
C/cpg/0/nu_lp	4607182418800017408	1.0
C/cpg/0/nu_hp	4607182418800017408	1.0
C/cpg/0/Tt4	4654311885213007872	1500.0
C/cpg/0/pi_lpc	4613937818241073153	3.0000000000000004
C/cpg/0/pi_hpc	4618441417868443649	6.000000000000001
C/cpg/0/Phi_lp	13621356199628391289	-1.1003861925559265e-14
C/cpg/0/Phi_hp	4392981919590641612	5.1085705561237316e-15
C/cpg/0/mdot_air	4607182418800017409	1.0000000000000002
C/cpg/0/passes	0	0
C/cpg/1/mf	4581171736478880146	0.019132317502696568
C/cpg/1/nu_lp	4606281558955011443	0.8999844658114128
C/cpg/1/nu_hp	4606440312872096356	0.9176096912111231
C/cpg/1/Tt4	4653432275910787068	1299.999999999999
C/cpg/1/pi_lpc	4613089803660787404	2.6234058750995697
C/cpg/1/pi_hpc	4617521945516958223	5.183344499899717
C/cpg/1/Phi_lp	4380946282726153483	7.840335250867186e-16
C/cpg/1/Phi_hp	4375310999304651243	3.362204436519395e-16
C/cpg/1/mdot_air	4605518772844114426	0.8152981954931982
C/cpg/1/passes	4	4
C/cpg/2/mf	4578211146137771998	0.012242853183877796
C/cpg/2/nu_lp	4605410552180219716	0.8032832882135854
C/cpg/2/nu_hp	4605678410599971837	0.8330215467084369
C/cpg/2/Tt4	4652552666608566278	1100.0000000000014
C/cpg/2/pi_lpc	4612313180577576451	2.278515943725098
C/cpg/2/pi_hpc	4616627776315598569	4.389162711691577
C/cpg/2/Phi_lp	4386187938264516515	1.7136229136857598e-15
C/cpg/2/Phi_hp	13588890525906930950	-7.437540552909251e-17
C/cpg/2/mdot_air	4604074101639888837	0.6549074720987781
C/cpg/2/passes	4	4
C/start/nu_lp	4606281558955010752	0.8999844658113361
C/start/nu_hp	4606440312872095886	0.9176096912110709
C/start/Tt4	4653432275910787596	1300.0000000001191
C/start/passes	3	3
census/C/cpg/close_calls	41	41
census/C/cpg/eq_calls	4	4
census/C/cpg/eq_passes	11	11
census/C/cpg/hi_wall_hi0	0	0
census/C/cpg/hi_wall_literal	0	0
census/C/cpg/hi_wall_map	41	41
census/C/cpg/illinois_calls	88	88
census/C/cpg/illinois_evals	696	696
census/C/cpg/illinois_exhausted	0	0
census/C/cpg/instant_calls	41	41
census/C/cpg/march_calls	0	0
census/C/cpg/rw_calls	0	0
census/C/cpg/rw_interior	0	0
census/C/cpg/rw_one	0	0
census/C/cpg/rw_zero	0	0
census/C/cpg/sched_calls	0	0
census/C/cpg/sched_dormant	0	0
census/C/cpg/surge_calls	0	0
census/C/cpg/surge_dormant	0	0
census/C/cpg/topping_calls	0	0
C/tpg/0/mf	4581348797629897987	0.019746621773404815
C/tpg/0/nu_lp	4606724636657790752	0.9491759725437738
C/tpg/0/nu_hp	4606825769183927861	0.9604039384493662
C/tpg/0/Tt4	4653872080561897742	1400.0000000000614
C/tpg/0/Phi_lp	4423116579807886917	5.13488658179068e-13
C/tpg/0/Phi_hp	13642798969680474181	-2.978384360005914e-13
C/tpg/0/passes	3	3
C/tpg/1/mf	4581983078020450352	0.021947223941090666
C/tpg/1/nu_lp	4606952203062244453	0.9744409187293398
C/tpg/1/nu_hp	4607004686063200095	0.9802677023355776
C/tpg/1/Tt4	4654091982887318395	1449.999999969469
C/tpg/1/Phi_lp	4409829589564244206	6.701094443460368e-14
C/tpg/1/Phi_hp	4422348442727650114	4.4533699253600257e-13
C/tpg/1/passes	7	7
census/C/tpg/close_calls	34	34
census/C/tpg/eq_calls	2	2
census/C/tpg/eq_passes	10	10
census/C/tpg/hi_wall_hi0	0	0
census/C/tpg/hi_wall_literal	0	0
census/C/tpg/hi_wall_map	34	34
census/C/tpg/illinois_calls	59	59
census/C/tpg/illinois_evals	428	428
census/C/tpg/illinois_exhausted	0	0
census/C/tpg/instant_calls	34	34
census/C/tpg/march_calls	0	0
census/C/tpg/rw_calls	0	0
census/C/tpg/rw_interior	0	0
census/C/tpg/rw_one	0	0
census/C/tpg/rw_zero	0	0
census/C/tpg/sched_calls	0	0
census/C/tpg/sched_dormant	0	0
census/C/tpg/surge_calls	0	0
census/C/tpg/surge_dormant	0	0
census/C/tpg/topping_calls	0	0
C/reacting/0/mf	4581257965340778111	0.01943148396477889
C/reacting/0/nu_lp	4606722474417233490	0.9489359156186288
C/reacting/0/nu_hp	4606826891331444533	0.9605285218503697
C/reacting/0/Tt4	4653872080561898351	1400.0000000001999
C/reacting/0/Phi_lp	4413609988935554040	1.1576574779234076e-13
C/reacting/0/Phi_hp	4421353810343698126	3.951208899589467e-13
C/reacting/0/passes	3	3
C/reacting/1/mf	4581898676346521963	0.021654396810740034
C/reacting/1/nu_lp	4606951045314998123	0.9743123829643826
C/reacting/1/nu_hp	4607005270843384386	0.980332625978072
C/reacting/1/Tt4	4654091982887451712	1449.9999999997817
C/reacting/1/Phi_lp	13648672241843022977	-7.339784548436931e-13
C/reacting/1/Phi_hp	4403708058034642824	2.5858297923933683e-14
C/reacting/1/passes	32	32
census/C/reacting/close_calls	109	109
census/C/reacting/eq_calls	2	2
census/C/reacting/eq_passes	35	35
census/C/reacting/hi_wall_hi0	0	0
census/C/reacting/hi_wall_literal	0	0
census/C/reacting/hi_wall_map	109	109
census/C/reacting/illinois_calls	206	206
census/C/reacting/illinois_evals	1510	1510
census/C/reacting/illinois_exhausted	0	0
census/C/reacting/instant_calls	109	109
census/C/reacting/march_calls	0	0
census/C/reacting/rw_calls	0	0
census/C/reacting/rw_interior	0	0
census/C/reacting/rw_one	0	0
census/C/reacting/rw_zero	0	0
census/C/reacting/sched_calls	0	0
census/C/reacting/sched_dormant	0	0
census/C/reacting/surge_calls	0	0
census/C/reacting/surge_dormant	0	0
census/C/reacting/topping_calls	0	0
C/forkb/0/mf	4581257965340778111	0.01943148396477889
C/forkb/0/nu_lp	4606722474417233490	0.9489359156186288
C/forkb/0/nu_hp	4606826891331444533	0.9605285218503697
C/forkb/0/Tt4	4653872080561898351	1400.0000000001999
C/forkb/0/Phi_lp	4413609988935554040	1.1576574779234076e-13
C/forkb/0/Phi_hp	4421353810343698126	3.951208899589467e-13
C/forkb/0/passes	3	3
C/forkb/1/mf	4581898676346521963	0.021654396810740034
C/forkb/1/nu_lp	4606951045314998123	0.9743123829643826
C/forkb/1/nu_hp	4607005270843384386	0.980332625978072
C/forkb/1/Tt4	4654091982887451712	1449.9999999997817
C/forkb/1/Phi_lp	13648672241843022977	-7.339784548436931e-13
C/forkb/1/Phi_hp	4403708058034642824	2.5858297923933683e-14
C/forkb/1/passes	32	32
census/C/forkb/close_calls	109	109
census/C/forkb/eq_calls	2	2
census/C/forkb/eq_passes	35	35
census/C/forkb/hi_wall_hi0	0	0
census/C/forkb/hi_wall_literal	0	0
census/C/forkb/hi_wall_map	109	109
census/C/forkb/illinois_calls	206	206
census/C/forkb/illinois_evals	1510	1510
census/C/forkb/illinois_exhausted	0	0
census/C/forkb/instant_calls	109	109
census/C/forkb/march_calls	0	0
census/C/forkb/rw_calls	0	0
census/C/forkb/rw_interior	0	0
census/C/forkb/rw_one	0	0
census/C/forkb/rw_zero	0	0
census/C/forkb/sched_calls	0	0
census/C/forkb/sched_dormant	0	0
census/C/forkb/surge_calls	0	0
census/C/forkb/surge_dormant	0	0
census/C/forkb/topping_calls	0	0
D/mf/0	4580617897984857248	0.017210804227734244
D/mf/1	4583084018840604399	0.025766879713855436
D/mf/2	4583809590202238791	0.02828421106290271
census/D/mf/close_calls	0	0
census/D/mf/eq_calls	0	0
census/D/mf/eq_passes	0	0
census/D/mf/hi_wall_hi0	0	0
census/D/mf/hi_wall_literal	0	0
census/D/mf/hi_wall_map	0	0
census/D/mf/illinois_calls	27	27
census/D/mf/illinois_evals	241	241
census/D/mf/illinois_exhausted	0	0
census/D/mf/instant_calls	0	0
census/D/mf/march_calls	0	0
census/D/mf/rw_calls	0	0
census/D/mf/rw_interior	0	0
census/D/mf/rw_one	0	0
census/D/mf/rw_zero	0	0
census/D/mf/sched_calls	0	0
census/D/mf/sched_dormant	0	0
census/D/mf/surge_calls	0	0
census/D/mf/surge_dormant	0	0
census/D/mf/topping_calls	0	0
D/acc/margin	4594572339843380019	0.15
D/acc/n	5	5
D/acc/n_H/0	4606460979345227899	0.9199041306419667
D/acc/kappa/0	4490882049416136454	1.7525709085478585e-08
D/acc/n_H/1	4606610443051979750	0.9364979355001395
D/acc/kappa/1	4491052047318031539	1.808818495996781e-08
D/acc/n_H/2	4606757242993679443	0.9527960030290025
D/acc/kappa/2	4491217612752544686	1.863599503012058e-08
D/acc/n_H/3	4606901458751257592	0.9688071684867046
D/acc/kappa/3	4491379053150048218	1.9170156497711685e-08
D/acc/n_H/4	4607043162255302529	0.9845394177727799
D/acc/kappa/4	4491536643307811847	1.9691578590636673e-08
D/acc/cap/0	4572459180134020853	0.005038641362075093
D/acc/cap/1	4572820803398769009	0.005352299545484094
D/acc/cap/2	4573177089923513176	0.005661328844808043
D/interp/0	4621819117588971520	10.0
D/interp/1	4621819117588971520	10.0
D/interp/2	4624633867356078080	15.0
D/interp/3	4625619029774565376	17.5
D/interp/4	4630822798406503629	39.975
D/interp/5	4630826316843712512	40.0
D/interp/6	4630826316843712512	40.0
census/D/close_calls	0	0
census/D/eq_calls	0	0
census/D/eq_passes	0	0
census/D/hi_wall_hi0	0	0
census/D/hi_wall_literal	0	0
census/D/hi_wall_map	0	0
census/D/illinois_calls	67	67
census/D/illinois_evals	580	580
census/D/illinois_exhausted	0	0
census/D/instant_calls	0	0
census/D/march_calls	0	0
census/D/rw_calls	0	0
census/D/rw_interior	0	0
census/D/rw_one	0	0
census/D/rw_zero	0	0
census/D/sched_calls	0	0
census/D/sched_dormant	0	0
census/D/surge_calls	0	0
census/D/surge_dormant	0	0
census/D/topping_calls	0	0
E/mf_lo	4580617897984857248	0.017210804227734244
E/mf_hi	4583084018840604399	0.025766879713855436
E/nu0_lp	4606061404512930931	0.8755424127542838
E/nu0_hp	4606251792691131809	0.896679746659789
E/bare/npts	21	21
E/bare/0/s	0	0.0
E/bare/0/nu_lp	4606061404512930931	0.8755424127542838
E/bare/0/nu_hp	4606251792691131809	0.896679746659789
E/bare/0/Tt4	4653212373585231874	1250.0000000000005
E/bare/0/f	4582075911543280260	0.022269304923912006
E/bare/0/pi_lpc	4612888480563468850	2.534000459886806
E/bare/0/pi_hpc	4617295485871173867	4.982207929581118
E/bare/0/phi_lp	4606125950982258088	0.8827085103948109
E/bare/0/phi_hp	4606907970214017982	0.969530086074762
E/bare/0/mdot_air	4605136422130772682	0.7728487389498124
E/bare/0/sp_thrust	4648449966868793062	595.5770404638868
E/bare/0/branch_choked	1	1
E/bare/0/mf	4580617897984857248	0.017210804227734244
E/bare/0/mf_sched	4580617897984857248	0.017210804227734244
E/bare/1/s	4587366580439587226	0.05
E/bare/1/nu_lp	4606066401289240056	0.876097166365013
E/bare/1/nu_hp	4606256030287490394	0.8971502143644259
E/bare/1/Tt4	4653394447514943314	1291.3988186008833
E/bare/1/f	4582428673460145028	0.02349319368114379
E/bare/1/pi_lpc	4612907639653661812	2.5425088051120444
E/bare/1/pi_hpc	4617347055807309570	5.028011233962163
E/bare/1/phi_lp	4606081411239078165	0.8777636055558867
E/bare/1/phi_hp	4606840506105201164	0.9620400653803372
E/bare/1/mdot_air	4605101811684954710	0.769006207565847
E/bare/1/sp_thrust	4648600560807203802	612.6975891018476
E/bare/1/branch_choked	1	1
E/bare/1/mf	4580864510070431963	0.018066411776346363
E/bare/1/mf_sched	4580864510070431963	0.018066411776346363
E/bare/2/s	4591870180066957722	0.1
E/bare/2/nu_lp	4606080716446610570	0.8776864680964007
E/bare/2/nu_hp	4606268210300359349	0.8985024674371603
E/bare/2/Tt4	4653568337663850039	1330.9368608811762
E/bare/2/f	4582763189676408860	0.024653779948039398
E/bare/2/pi_lpc	4612933612967360335	2.5540432734696092
E/bare/2/pi_hpc	4617402450925973339	5.07721198291605
E/bare/2/phi_lp	4606051738709305562	0.8744692929806448
E/bare/2/phi_hp	4606784067570463415	0.9557741293061416
E/bare/2/mdot_air	4605088333831246771	0.7675098652149387
E/bare/2/sp_thrust	4648746103539114806	629.2438820461746
E/bare/2/branch_choked	1	1
E/bare/2/mf	4581111122156006678	0.018922019324958482
E/bare/2/mf_sched	4581111122156006678	0.018922019324958482
E/bare/3/s	4594572339843380020	0.15000000000000002
E/bare/3/nu_lp	4606103383982244657	0.8802030700936482
E/bare/3/nu_hp	4606287559539540512	0.900650664521951
E/bare/3/Tt4	4653733357140609655	1368.4579458317291
E/bare/3/f	4583078199556909993	0.025746690017779326
E/bare/3/pi_lpc	4612965733628943783	2.568307712692064
E/bare/3/pi_hpc	4617461325257350884	5.129502893519859
E/bare/3/phi_lp	4606035891384510562	0.8727098864940326
E/bare/3/phi_hp	4606738022042956148	0.9506620488241837
E/bare/3/mdot_air	4605094207031168994	0.7681619213931266
E/bare/3/sp_thrust	4648886065818425960	645.1557509813692
E/bare/3/branch_choked	1	1
E/bare/3/mf	4581357734241581393	0.0197776268735706
E/bare/3/mf_sched	4581357734241581393	0.0197776268735706
E/bare/4/s	4596373779694328218	0.2
E/bare/4/nu_lp	4606133499561871676	0.883546571083833
E/bare/4/nu_hp	4606313340609650293	0.9035129382854864
E/bare/4/Tt4	4653889095911963943	1403.8688426835668
E/bare/4/f	4583372990078711453	0.026769450095108217
E/bare/4/pi_lpc	4613003365452843551	2.5850195996329286
E/bare/4/pi_hpc	4617523341356450330	5.184584254413972
E/bare/4/phi_lp	4606032788247004501	0.8723653690232519
E/bare/4/phi_hp	4606701657218953993	0.9466247423348203
E/bare/4/mdot_air	4605117747428743912	0.770775430532777
E/bare/4/sp_thrust	4649020087764703058	660.3922822389088
E/bare/4/branch_choked	1	1
E/bare/4/mf	4581604346327156108	0.02063323442218272
E/bare/4/mf_sched	4581604346327156108	0.02063323442218272
E/bare/5/s	4598175219545276416	0.25
E/bare/5/nu_lp	4606170220110612812	0.887623370952761
E/bare/5/nu_hp	4606344853724394199	0.9070115968421203
E/bare/5/Tt4	4654035395108870452	1437.1334287985928
E/bare/5/f	4583647350360194289	0.027721328537435978
E/bare/5/pi_lpc	4613045903512119686	2.6039102927654225
E/bare/5/pi_hpc	4617588170030875747	5.2421636840163925
E/bare/5/phi_lp	4606041329517697972	0.8733136405615967
E/bare/5/phi_hp	4606674208890795958	0.9435773657439686
E/bare/5/mdot_air	4605157362595282370	0.7751735975343126
E/bare/5/sp_thrust	4649147963734453614	674.9300968604346
E/bare/5/branch_choked	1	1
E/bare/5/mf	4581850958412730824	0.021488841970794842
E/bare/5/mf_sched	4581850958412730824	0.021488841970794842
E/bare/6/s	4599075939470750515	0.3
E/bare/6/nu_lp	4606212763171862496	0.8923465995665048
E/bare/6/nu_hp	4606381438283317578	0.9110732988083694
E/bare/6/Tt4	4654172313913270743	1468.26516059238
E/bare/6/f	4583901509111724036	0.028603118843243194
E/bare/6/pi_lpc	4613092775098873677	2.624725458691421
E/bare/6/pi_hpc	4617655490992729979	5.301956709528777
E/bare/6/phi_lp	4606060415063466213	0.8754325617965405
E/bare/6/phi_hp	4606654885706024707	0.9414320612797556
E/bare/6/mdot_air	4605211546952850129	0.7811892696689374
E/bare/6/sp_thrust	4649269623994456942	688.7612670966025
E/bare/6/branch_choked	1	1
E/bare/6/mf	4582097570498305538	0.022344449519406957
E/bare/6/mf_sched	4582097570498305538	0.022344449519406957
E/bare/7/s	4599976659396224614	0.35
E/bare/7/nu_lp	4606260405951659588	0.8976360106752925
E/bare/7/nu_hp	4606422474094081779	0.9156291890028271
E/bare/7/Tt4	4654300092355091007	1497.3186145514626
E/bare/7/f	4584136061910503800	0.029416887336041836
E/bare/7/pi_lpc	4613143440877586292	2.6472255843263444
E/bare/7/pi_hpc	4617724994046216923	5.363687821739144
E/bare/7/phi_lp	4606088960665544422	0.878601760264442
E/bare/7/phi_hp	4606642890444739593	0.9401003197532428
E/bare/7/mdot_air	4605278878553990808	0.7886645790560634
E/bare/7/sp_thrust	4649385114536316595	701.8910215873824
E/bare/7/branch_choked	1	1
E/bare/7/mf	4582344182583880254	0.02320005706801908
E/bare/7/mf_sched	4582344182583880254	0.02320005706801908
E/bare/8/s	4600877379321698713	0.39999999999999997
E/bare/8/nu_lp	4606312484002891794	0.9034178358308529
E/bare/8/nu_hp	4606467382169744222	0.9206149869620324
E/bare/8/Tt4	4654419113000123284	1524.3807760660757
E/bare/8/f	4584351894644082426	0.030165707555688016
E/bare/8/pi_lpc	4613197396039574290	2.6711864895809265
E/bare/8/pi_hpc	4617796380511760904	5.427091739893974
E/bare/8/phi_lp	4606125911981205564	0.8827041804081612
E/bare/8/phi_hp	4606637437672908916	0.9394949404697983
E/bare/8/mdot_air	4605358016899100267	0.7974507003431887
E/bare/8/sp_thrust	4649494576282329460	714.3353813430717
E/bare/8/branch_choked	1	1
E/bare/8/mf	4582590794669454969	0.0240556646166312
E/bare/8/mf_sched	4582590794669454969	0.0240556646166312
E/bare/9/s	4601778099247172812	0.44999999999999996
E/bare/9/nu_lp	4606368389535932546	0.9096245968294314
E/bare/9/nu_hp	4606515625068697788	0.9259710246813238
E/bare/9/Tt4	4654529863952032392	1549.5626270604862
E/bare/9/f	4584550108412952859	0.03085339971193078
E/bare/9/pi_lpc	4613254171289552679	2.696399765482869
E/bare/9/pi_hpc	4617869364669659519	5.491914693919511
E/bare/9/phi_lp	4606170256137014431	0.8876273706868182
E/bare/9/phi_hp	4606637767835931581	0.9395315959287626
E/bare/9/mdot_air	4605447701481672662	0.8074076891957656
E/bare/9/sp_thrust	4649598224754019333	726.1188483241718
E/bare/9/branch_choked	1	1
E/bare/9/mf	4582837406755029684	0.024911272165243317
E/bare/9/mf_sched	4582837406755029684	0.024911272165243317
E/bare/10/s	4602678819172646911	0.49999999999999994
E/bare/10/nu_lp	4606427569369068591	0.9161948781635426
E/bare/10/nu_hp	4606566706775382936	0.9316422333712238
