# phase-4G NO-march oracle — key	u64 bits	repr
# cpython 3.14.3
exact/warm/8/surrogate	4685654852089273144	186696.39397784485
exact/warm/8/ratio	4609330476705505010	1.4769646689800848
exact/warm/9/tau	4694851205209026307	768805.9839815799
exact/warm/9/beta	4587049537229366241	0.04780007080132243
exact/warm/9/a	4626321144810656050	19.994413692810845
exact/warm/9/surrogate	4693128569541783171	568264.7983889136
exact/warm/9/ratio	4608771743374173872	1.3529009471662157
exact/warm/10/tau	4702158666035175011	2283721.551181601
exact/warm/10/beta	4585483814360385343	0.03693568593054274
exact/warm/10/a	4629846913755744643	33.0409225046342
exact/warm/10/surrogate	4700572531233158208	1821135.9887154251
exact/warm/10/ratio	4608326375198473483	1.2540093465466409
traj/warm/T_exit	4651997398599473765	998.8733359582953
traj/warm/T_mid	4653257010086081967	1260.149165257211
traj/warm/p_mid	4683913940516667672	136029.19872856955
traj/warm/x_no_frozen	4559868977339587981	0.0007296413980836678
exact/hot/0/tau	4604071725552797406	0.654643673439036
exact/hot/0/beta	4602789982095210093	0.5123415636114267
exact/hot/0/a	4599231469880639328	0.3086336721043974
exact/hot/0/surrogate	4598980096705513864	0.2946796577645263
exact/hot/0/ratio	4612184890002349935	2.2215434835415446
exact/hot/1/tau	4608752264787958109	1.3485758321854384
exact/hot/1/beta	4602072999164676565	0.46637023391863625
exact/hot/1/a	4600804605706964792	0.39596025286686
exact/hot/1/surrogate	4603549464593962216	0.596661059302872
exact/hot/1/ratio	4612271946196364759	2.2602041999541416
exact/hot/2/tau	4613455960628234280	2.786012233454148
exact/hot/2/beta	4601268676940612752	0.4217213812999683
exact/hot/2/a	4602810408325297315	0.5146093307063392
exact/hot/2/surrogate	4608261277815400757	1.239554823840604
exact/hot/2/ratio	4612243543735806126	2.2475909736868607
exact/hot/3/tau	4618196895525372518	5.782820531749712
exact/hot/3/beta	4600492372751241087	0.37862784204229877
exact/hot/3/a	4604282782713242340	0.6780757253428331
exact/hot/3/surrogate	4613141345600190542	2.646295094243249
exact/hot/3/ratio	4612103167897235158	2.1852515784538395
exact/hot/4/tau	4623005803940929637	12.107978417523734
exact/hot/4/beta	4599748179860468860	0.33731683793741474
exact/hot/4/a	4606341563448071158	0.9066463027889984
exact/hot/4/surrogate	4618233382292504715	5.815227290921153
exact/hot/4/ratio	4611870927465405466	2.0821161085873543
exact/hot/5/tau	4627932556010778173	25.719296305657043
exact/hot/5/beta	4599040009878327136	0.29800550696130834
exact/hot/5/a	4608224197914402513	1.2313214318727896
exact/hot/5/surrogate	4623607723386666393	13.177202141726228
exact/hot/5/ratio	4611468956260368225	1.9518025168799442
exact/hot/6/tau	4633050382979465115	55.80294036609049
exact/hot/6/beta	4598371503554982120	0.260895951347051
exact/hot/6/a	4610336292569982307	1.700300655235275
exact/hot/6/surrogate	4629376308261451217	30.848534675422176
exact/hot/6/ratio	4610825530323861870	1.8089332590098723
exact/hot/7/tau	4638465983092802556	124.56618713845086
exact/hot/7/beta	4597316649219094243	0.22616988639031552
exact/hot/7/a	4612564025987667118	2.3899136836867774
exact/hot/7/surrogate	4634961387634818609	74.76289024948416
exact/hot/7/ratio	4610182491544162290	1.6661499672200049
exact/hot/8/tau	4643776186243121390	288.1148504633592
exact/hot/8/beta	4596156995574375758	0.19398303196639194
exact/hot/8/a	4614891263748623008	3.4234148620829075
exact/hot/8/surrogate	4640818201694202358	187.9864478826782
exact/hot/8/ratio	4609581199359097854	1.5326362815428634
exact/hot/9/tau	4649324973904796303	695.0538233712595
exact/hot/9/beta	4595093296749520563	0.16445945880086796
exact/hot/9/a	4617320007202989441	5.003987247322017
exact/hot/9/surrogate	4647355164021220934	491.55618339739556
exact/hot/9/ratio	4609046848394255983	1.4139865326632408
exact/hot/10/tau	4655452024655496132	1759.2376955563532
exact/hot/10/beta	4594128687683982285	0.13768617894279914
exact/hot/10/a	4620101004757798140	7.474009260741919
exact/hot/10/surrogate	4653608372177976382	1340.0396555026668
exact/hot/10/ratio	4608591257806555649	1.3128251006097573
traj/hot/T_exit	4653247435782818572	1257.9722207344048
traj/hot/T_mid	4654704562022379674	1589.284369408188
traj/hot/p_mid	4684262142778552903	146163.2183231285
traj/hot/x_no_frozen	4562379455760949039	0.0010270935278508633
exact/vhot/0/tau	4595673657044759196	0.18056769285967256
exact/vhot/0/beta	4603065370997745032	0.5429158736434809
exact/vhot/0/a	4599413220347536728	0.3187228497586907
exact/vhot/0/surrogate	4591007123227284532	0.08802268031293253
exact/vhot/0/ratio	4611801708915854140	2.0513768976101385
exact/vhot/1/tau	4600238450935165171	0.36453234970919296
exact/vhot/1/beta	4602679315901531315	0.5000551479844461
exact/vhot/1/a	4600947063468492119	0.4038682472110699
exact/vhot/1/surrogate	4595483984675832028	0.17530322708171908
exact/vhot/1/ratio	4611864898927863306	2.079438900113705
exact/vhot/2/tau	4604839362666690222	0.7398685132790968
exact/vhot/2/beta	4601922179288162248	0.45799804894477036
exact/vhot/2/a	4602841511632897391	0.5180624915302995
exact/vhot/2/surrogate	4600119691189196297	0.35793985949052903
