# phase-5J component-map matcher oracle — key	u64 bits	repr
# pypy 3.11.15
map/flow/eta_t/3	4606281698874543309	0.9
map/flow/eta_t/4	4606281248514580572	0.89995
map/flow/eta_t/5	4606252875836928138	0.8968
map/press/psi/0	4605453036543107137	0.8079999999999999
map/press/psi/1	4606635231445291893	0.93925
map/press/psi/2	4607074332408960516	0.988
map/press/psi/3	4607175663400576352	0.99925
map/press/psi/4	4607182416097857632	0.9999997
map/press/psi/5	4607182418800017408	1.0
map/press/psi/6	4607182416097857632	0.9999997
map/press/psi/7	4607175663400576352	0.99925
map/press/psi/8	4606939224420139401	0.973
map/press/psi/9	4604993669381115348	0.7570000000000001
map/press/eta_c/0/0	4604930618986332160	0.75
map/press/eta_c/0/1	4605525094137145065	0.816
map/press/eta_c/0/2	4605772792116650443	0.8435
map/press/eta_c/0/3	4605812603937356398	0.84792
map/press/eta_c/0/4	4605813324513296777	0.848
map/press/eta_c/0/5	4605812603937356398	0.84792
map/press/eta_c/0/6	4605772792116650443	0.8435
map/press/eta_c/0/7	4605164806166955425	0.7759999999999999
map/press/eta_c/1/0	4605127651470029619	0.771875
map/press/eta_c/1/1	4605722126620842524	0.8378749999999999
map/press/eta_c/1/2	4605969824600347902	0.865375
map/press/eta_c/1/3	4606009636421053857	0.869795
map/press/eta_c/1/4	4606010356996994236	0.869875
map/press/eta_c/1/5	4606009636421053857	0.869795
map/press/eta_c/1/6	4605969824600347902	0.865375
map/press/eta_c/1/7	4605361838650652884	0.7978749999999999
map/press/eta_c/2/0	4605200834963974390	0.78
map/press/eta_c/2/1	4605795310114787295	0.846
map/press/eta_c/2/2	4606043008094292673	0.8735
map/press/eta_c/2/3	4606082819914998628	0.87792
map/press/eta_c/2/4	4606083540490939007	0.878
map/press/eta_c/2/5	4606082819914998628	0.87792
map/press/eta_c/2/6	4606043008094292673	0.8735
map/press/eta_c/2/7	4605435022144597655	0.8059999999999999
map/press/eta_c/3/0	4605217723462577029	0.781875
map/press/eta_c/3/1	4605812198613389934	0.8478749999999999
map/press/eta_c/3/2	4606059896592895312	0.875375
map/press/eta_c/3/3	4606099708413601267	0.879795
map/press/eta_c/3/4	4606100428989541646	0.879875
map/press/eta_c/3/5	4606099708413601267	0.879795
map/press/eta_c/3/6	4606059896592895312	0.875375
map/press/eta_c/3/7	4605451910643200294	0.8078749999999999
map/press/eta_c/4/0	4605218848912123909	0.78199995
map/press/eta_c/4/1	4605813324062936814	0.84799995
map/press/eta_c/4/2	4606061022042442192	0.87549995
map/press/eta_c/4/3	4606100833863148147	0.87991995
map/press/eta_c/4/4	4606101554439088526	0.87999995
map/press/eta_c/4/5	4606100833863148147	0.87991995
map/press/eta_c/4/6	4606061022042442192	0.87549995
map/press/eta_c/4/7	4605453036092747174	0.8079999499999999
map/press/eta_c/5/0	4605218849362483872	0.782
map/press/eta_c/5/1	4605813324513296777	0.848
map/press/eta_c/5/2	4606061022492802155	0.8755000000000001
map/press/eta_c/5/3	4606100834313508110	0.87992
map/press/eta_c/5/4	4606101554889448489	0.88
map/press/eta_c/5/5	4606100834313508110	0.87992
map/press/eta_c/5/6	4606061022492802155	0.8755000000000001
map/press/eta_c/5/7	4605453036543107137	0.8079999999999999
map/press/eta_c/6/0	4605218848912123909	0.78199995
map/press/eta_c/6/1	4605813324062936814	0.84799995
