# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
eq/flow_dom/700/nu	4604370152815648512	0.6877757552783521
eq/flow_dom/700/n	4604370152815648512	0.6877757552783521
eq/flow_dom/700/pi_c	4614777717176570573	3.3729900546189584
eq/flow_dom/700/tau_c	4609349144434743806	1.4811097375437607
eq/flow_dom/700/mdot_air	4602780993892154350	0.5113436726131775
eq/flow_dom/700/f	4575092919939826864	0.007323046497448235
eq/flow_dom/700/pi_t	4601286441299372921	0.42270750130563034
eq/flow_dom/700/tau_t	4605552599983624966	0.819053762407379
eq/flow_dom/700/Tt3	4646169403759605462	424.153516177886
eq/flow_dom/700/Tt5	4648254346978008705	573.3376336851653
eq/flow_dom/700/flowcoef	4604871841680515708	0.7434744081757141
eq/flow_dom/700/Phi	4372660750253833668	2.1379884099820167e-16
eq/flow_dom/700/sp_thrust	4641338612912928606	202.77742432563804
eq/flow_dom/700/M9	4607182418800017376	0.9999999999999964
eq/flow_dom/700/pt9_over_p0	4611885885324705165	2.088758732504806
eq/flow_dom/700/eta_c	4605909471467543234	0.8586744562351998
eq/flow_dom/700/eta_t	4606281690543179571	0.8999990750328152
eq/flow_dom/700/nu_t	4607213046045497480	1.0068006146225645
eq/flow_dom/700/p_net_spec	4456311831283105792	8.731149137020111e-11
eq/flow_dom/700/m	4602780993892154351	0.5113436726131776
eq/flow_dom/700/thrust	4636996878335971491	103.68895287771242
eq/flow_dom/700/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/700/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/700/V0	4643453651052699634	269.7808475368648
eq/flow_dom/520/branch	1	1
eq/flow_dom/520/nu	4603427751059233599	0.5831481424364496
eq/flow_dom/520/n	4603427751059233599	0.5831481424364496
eq/flow_dom/520/pi_c	4612788463047617972	2.4895837603014233
eq/flow_dom/520/tau_c	4608743341708537397	1.3465945105407517
eq/flow_dom/520/mdot_air	4601626624486505999	0.4415914616529059
eq/flow_dom/520/f	4570247612711516098	0.0035133311994064173
eq/flow_dom/520/pi_t	4601471517868006420	0.43298131469640677
eq/flow_dom/520/tau_t	4605541420572901104	0.8178125984886417
eq/flow_dom/520/Tt3	4645491719977564048	385.63165310012937
eq/flow_dom/520/Tt5	4646188914110292204	425.2625512140937
eq/flow_dom/520/flowcoef	4604995960271092070	0.7572543398799041
eq/flow_dom/520/Phi	4431737946470488953	1.8981180897922367e-12
eq/flow_dom/520/sp_thrust	4632963030387339112	55.182262868241025
eq/flow_dom/520/M9	4605740973291632542	0.8399674007848608
eq/flow_dom/520/pt9_over_p0	4609790773104276868	1.5791710009937967
eq/flow_dom/520/eta_c	4605890609548602207	0.8565803625655056
eq/flow_dom/520/eta_t	4606281682368742512	0.8999981674879916
eq/flow_dom/520/nu_t	4607096200751838110	0.9904278737773102
eq/flow_dom/520/p_net_spec	4515291146825498624	7.61050614528358e-07
eq/flow_dom/520/m	4601626624486506000	0.44159146165290597
eq/flow_dom/520/thrust	4627552204451231206	24.36801611730143
eq/flow_dom/520/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/520/pt2	4680086807681088516	77858.48677323764
