# phase-3B finite-quench oracle — key	u64 bits	repr
# cpython 3.14.3
traj/dp1/0.8/5/cN2	4629779710899357222	32.56341749035009
traj/dp1/0.8/5/cH	4553970730258449570	0.00028921670908050635
traj/dp1/0.8/5/cNOe	4596950641086508139	0.21601111999038677
traj/dp1/0.8/5/ntot_local	4607402751933558162	1.0489237835889509
traj/dp1/0.8/5/V	4579171234701386794	0.013908341354197235
traj/dp1/0.8/6/a	4603537929289127114	0.595380383200472
traj/dp1/0.8/6/T	4656622613056284672	2025.3986826748587
traj/dp1/0.8/6/cO	4569873872054838409	0.0033512470266399736
traj/dp1/0.8/6/cN2	4629854560919860733	33.095258873752734
traj/dp1/0.8/6/cH	4551866278622461176	0.0002096373911495209
traj/dp1/0.8/6/cNOe	4596686420227640127	0.20867751796284925
traj/dp1/0.8/6/ntot_local	4607396624676493310	1.0475632592147117
traj/dp1/0.8/6/V	4579254125768200467	0.014052134433747676
traj/dp1/0.8/7/a	4603678101962622895	0.6109426761543001
traj/dp1/0.8/7/T	4656493750031644672	1996.0986231337301
traj/dp1/0.8/7/cO	4568591120359185020	0.002794942156565226
traj/dp1/0.8/7/cN2	4629928697258920998	33.622029245503924
traj/dp1/0.8/7/cH	4549759843312231555	0.0001525423476607426
traj/dp1/0.8/7/cNOe	4596411792773482042	0.20105507489283686
traj/dp1/0.8/7/ntot_local	4607390874940447693	1.0462865613460395
traj/dp1/0.8/7/V	4579335628706198833	0.014193519493654523
traj/dp1/0.8/8/a	4603818274636118675	0.626504969108128
traj/dp1/0.8/8/T	4656369625559324672	1967.87598564988
traj/dp1/0.8/8/cO	4567516783734752595	0.0023290229156890745
traj/dp1/0.8/8/cN2	4630002081028335655	34.14345228830671
traj/dp1/0.8/8/cH	4547850621541420513	0.00011143155018449688
traj/dp1/0.8/8/cNOe	4596132091916761337	0.19329181661436914
traj/dp1/0.8/8/ntot_local	4607385461339614472	1.045084500487805
traj/dp1/0.8/8/V	4579415910942786051	0.014332786974166295
traj/dp1/0.8/9/a	4603958447309614456	0.6420672620619561
traj/dp1/0.8/9/T	4656250071887644672	1940.692627907265
traj/dp1/0.8/9/cO	4566589901158434382	0.0019400883372679037
traj/dp1/0.8/9/cN2	4630074686353688269	34.6593441533747
traj/dp1/0.8/9/cH	4545658277211928073	8.171974412359713e-05
traj/dp1/0.8/9/cNOe	4595851401934893785	0.1855011045980948
traj/dp1/0.8/9/ntot_local	4607380349499520148	1.043949443973621
traj/dp1/0.8/9/V	4579495108976197554	0.014470173661976424
traj/dp1/0.8/10/a	4604098619983110236	0.657629555015784
traj/dp1/0.8/10/T	4656134907448604672	1914.5072661223821
traj/dp1/0.8/10/cO	4565096025568894160	0.0016161557053473892
traj/dp1/0.8/10/cN2	4630146497032942869	35.16958971831824
traj/dp1/0.8/10/cH	4544003558207227896	6.0164638063367416e-05
traj/dp1/0.8/10/cNOe	4595572826419256117	0.1777690808091507
traj/dp1/0.8/10/ntot_local	4607375510486653836	1.0428749672734936
traj/dp1/0.8/10/V	4579573335445068425	0.014605874953969493
traj/dp1/0.8/11/a	4604238792656606017	0.6731918479696121
traj/dp1/0.8/11/T	4656023944804124672	1889.2772818100639
traj/dp1/0.8/11/cO	4563853672888725565	0.0013467634103809932
traj/dp1/0.8/11/cN2	4630217504091304296	35.6741252133823
traj/dp1/0.8/11/cH	4541686996962294794	4.4467008473041204e-05
traj/dp1/0.8/11/cNOe	4595298698492207786	0.17016050240160513
traj/dp1/0.8/11/ntot_local	4607370919652105817	1.0418555972300025
traj/dp1/0.8/11/V	4579650684370750015	0.014740053951190933
traj/dp1/0.8/12/a	4604378965330101798	0.6887541409234401
traj/dp1/0.8/12/T	4655916995973404672	1864.9599330849014
traj/dp1/0.8/12/cO	4562821407617037803	0.001122926560351951
traj/dp1/0.8/12/cN2	4630287703966851826	36.1729253295979
traj/dp1/0.8/12/cH	4539993468052504573	3.299121020328142e-05
traj/dp1/0.8/12/cNOe	4595030745831566396	0.16272332206776408
traj/dp1/0.8/12/ntot_local	4607366555768744529	1.0408866204731064
traj/dp1/0.8/12/V	4579727235101142820	0.014872848300306503
traj/dp1/0.8/13/a	4604519138003597578	0.704316433877268
traj/dp1/0.8/13/T	4655813875945244672	1841.5131532703526
traj/dp1/0.8/13/cO	4561781684850663904	0.0009370175619674535
traj/dp1/0.8/13/cN2	4630357097159767298	36.66599362097078
traj/dp1/0.8/13/cH	4537872922992449721	2.4569708036125476e-05
traj/dp1/0.8/13/cNOe	4594770220412235019	0.1554922890917186
traj/dp1/0.8/13/ntot_local	4607362400378908252	1.0399639385786008
traj/dp1/0.8/13/V	4579803055296274223	0.01500437537275409
traj/dp1/0.8/14/a	4604659310677093358	0.719878726831096
traj/dp1/0.8/14/T	4655714404935964672	1818.8960642903112
traj/dp1/0.8/14/cO	4560357571699407461	0.0007826149047217122
traj/dp1/0.8/14/cN2	4630425687221430310	37.153355321570686
traj/dp1/0.8/14/cH	4536041957861143760	1.8366156870165695e-05
traj/dp1/0.8/14/cNOe	4594518000717333064	0.14849178627811654
traj/dp1/0.8/14/ntot_local	4607358437294835450	1.0390839571413708
traj/dp1/0.8/14/V	4579878203207150316	0.015134736217921461
traj/dp1/0.8/15/a	4604799483350589139	0.735441019784924
traj/dp1/0.8/15/T	4655618409779484672	1797.0692927367054
traj/dp1/0.8/15/cO	4559174491398892297	0.0006543450815173778
traj/dp1/0.8/15/cN2	4630493479994969122	37.63505194932101
traj/dp1/0.8/15/cH	4534251477618464704	1.3779281452418776e-05
traj/dp1/0.8/15/cNOe	4594274672431748892	0.1417380696481637
traj/dp1/0.8/15/ntot_local	4607354652211187154	1.0382434997380767
traj/dp1/0.8/15/V	4579952729428449277	0.015264018603584612
