# phase-3E nozzle-strand oracle — key	u64 bits	repr
# pypy 3.11.15
nz/cool0/dV9_frac	4531939357230684120	9.862397159481688e-06
nz/cool0/co_frac_entry	4504532152942516273	1.438930359151042e-07
nz/cool0/exit_eq/CO2	4586487583001059117	0.04390073003224724
nz/cool0/exit_eq/H2O	4586487583000834556	0.043900730030689034
nz/cool0/exit_eq/CO	4325965406449101119	1.6884059193541805e-19
nz/cool0/exit_eq/H2	4343409040594110174	2.481599034821176e-18
nz/cool0/exit_eq/OH	4434754318304702739	3.116420971390215e-12
nz/cool0/exit_eq/O	4352676978718509465	1.0328127976677182e-17
nz/cool0/exit_eq/H	4257324177458563205	4.353832138319309e-24
nz/cool0/exit_eq/O2	4594346537950364781	0.1437327384842634
nz/cool0/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/cool0/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/cool0/x_no_e_entry	4544541653439857922	6.658667012950442e-05
clamp/cool0/x_no_e_exit	4501663239487857731	9.358140931236551e-08
clamp/cool0/collapse	4649469964739327108	711.5373728476848
dp/dp0/far	4583674764794542402	0.02781644146312457
dp/dp0/Tt9	4653405807500276404	1293.9817802190491
dp/dp0/pt9	4690952814143653512	419630.76674947934
dp/dp0/p9	4677104761256804352	50000.0
dp/dp0/V9_cycle	4652618245388949413	1114.9108883267993
dp/dp0/T9_cycle	4650032830652080093	775.5278185298627
nz/dp0/T9_frozen	4650032830652080254	775.527818529881
nz/dp0/T9_eq	4650033646199677186	775.6205355571876
nz/dp0/V9_frozen	4652618245388949327	1114.9108883267797
nz/dp0/V9_eq	4652618551967602473	1114.980596241958
nz/dp0/dV9	4589687405316308992	0.06970791517824182
nz/dp0/dV9_frac	4544241830123203196	6.252330648851863e-05
nz/dp0/co_frac_entry	4527498528904059235	4.984367939614385e-06
nz/dp0/exit_eq/CO2	4588437207442000016	0.05742896718040058
nz/dp0/exit_eq/H2O	4588437207417554286	0.057428967010774254
nz/dp0/exit_eq/CO	4380639085493348124	7.537415391926904e-16
nz/dp0/exit_eq/H2	4391310034250422867	3.789685573213033e-15
nz/dp0/exit_eq/OH	4465125614472412237	3.392465892630704e-10
nz/dp0/exit_eq/O	4398752798125482513	1.221655468447666e-14
nz/dp0/exit_eq/H	4321924040454101037	8.998423092949066e-20
nz/dp0/exit_eq/O2	4593559237646062424	0.12344038267799584
nz/dp0/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/dp0/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/dp0/x_no_e_entry	4554343111683123173	0.00030940354656172473
clamp/dp0/x_no_e_exit	4517906909039633520	1.1223361070392448e-06
clamp/dp0/collapse	4643557397571517658	275.67815436138847
dp/warm0/far	4585696170412051188	0.03840920204290468
dp/warm0/Tt9	4654776108357421610	1605.552122571166
dp/warm0/pt9	4691891708843150000	474281.6310512228
dp/warm0/p9	4677104761256804352	50000.0
dp/warm0/V9_cycle	4653330501680788383	1276.8592192597932
dp/warm0/T9_cycle	4651665178042562080	961.1042314168917
nz/warm0/T9_frozen	4651665178042561984	961.1042314168808
nz/warm0/T9_eq	4651674052596525820	962.1131513932191
nz/warm0/V9_frozen	4653330501680788428	1276.8592192598035
nz/warm0/V9_eq	4653333210017206050	1277.475023665415
nz/warm0/dV9	4603721892528566272	0.6158044056114704
