# phase-4F recombination-march oracle — key	u64 bits	repr
# cpython 3.14.3
ref/hot/comp_irrev/CO	4499838338860317669	6.942905060937362e-08
ref/hot/comp_irrev/H2	4496435769990707352	4.2000535677837124e-08
ref/hot/comp_irrev/OH	4529450153797903006	6.6374585253817355e-06
ref/hot/comp_irrev/O	4494844180229119202	3.146827812644822e-08
ref/hot/comp_irrev/H	4462194573841143865	2.1027299193377048e-10
ref/hot/comp_irrev/O2	4586147753238027972	0.04154268736118419
ref/hot/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/hot/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/hot/T_star	4656527696657059076	2003.8171921230978
eqhp/hot/H_entry	4659958750269714921	3519.8969253508735
eqhp/hot/comp/CO2	4592709980421213813	0.11165457111729345
eqhp/hot/comp/H2O	4592692777612313565	0.11141583418567742
eqhp/hot/comp/CO	4555493756183590174	0.00037178010991996576
eqhp/hot/comp/H2	4545585254081276601	8.073009616242189e-05
eqhp/hot/comp/OH	4562494835141001234	0.0010521124427533874
eqhp/hot/comp/O	4544768876993088735	6.966612350516346e-05
eqhp/hot/comp/H	4530422948859874515	7.4614479937978925e-06
eqhp/hot/comp/O2	4586137935913114860	0.04147456598519192
eqhp/hot/comp/N2	4605210854977551093	0.7811124449779913
eqhp/hot/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/hot/rise	4622953658204159872	12.015348981367197
entry/vhot/comp/CO2	4593250376660975368	0.11915407546484513
entry/vhot/comp/H2O	4593326594110967966	0.12021180506309512
entry/vhot/comp/CO	4569461802373291576	0.003172540289060579
entry/vhot/comp/H2	4558409031971411747	0.0005713538040949855
entry/vhot/comp/OH	4569062969180104182	0.0029995739632553376
entry/vhot/comp/O	4554315581690213861	0.0003079111426556854
entry/vhot/comp/H	4546072964892507557	8.733981017593777e-05
entry/vhot/comp/O2	4583463607617696898	0.027083842839534807
entry/vhot/comp/N2	4605210854977551093	0.7811124449779913
entry/vhot/comp/Ar	4576516852069590693	0.009303721488595438
ref/vhot/T9_frozen	4653538520191151364	1324.1571525212503
ref/vhot/V9_frozen	4654107115041659633	1453.4406535194105
ref/vhot/T9_reversible	4653659518115149502	1351.6688952217078
ref/vhot/V9_reversible	4654159864868935411	1465.4345756260998
ref/vhot/T9_irrev_fast	4653662998407589828	1352.460222105482
ref/vhot/V9_irrev_fast	4654156722035507593	1464.719978038311
ref/vhot/T_star	4656873828448044936	2117.0368992546028
ref/vhot/comp_irrev/CO2	4593478948931334067	0.12232615293163356
ref/vhot/comp_irrev/H2O	4593478412695068130	0.12231871115852003
ref/vhot/comp_irrev/CO	4512342092912664707	4.628222721532703e-07
ref/vhot/comp_irrev/H2	4507947416017202865	2.3429429678387193e-07
ref/vhot/comp_irrev/OH	4535148457409818088	1.533885958752797e-05
ref/vhot/comp_irrev/O	4502401314068831331	1.033497450563585e-07
ref/vhot/comp_irrev/H	4475997480215217381	1.7425903490032835e-09
ref/vhot/comp_irrev/O2	4583177259289973365	0.02609037250671738
ref/vhot/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/vhot/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/vhot/T_star	4656873828448044936	2117.0368992546028
eqhp/vhot/H_entry	4659030218411574857	3097.6495226479933
eqhp/vhot/comp/CO2	4593391146971712646	0.12110765596689718
eqhp/vhot/comp/H2O	4593401315900658890	0.1212487782050459
eqhp/vhot/comp/CO	4563264282705714545	0.0012189597870085579
eqhp/vhot/comp/H2	4553139833192368114	0.00024417368887263903
eqhp/vhot/comp/OH	4565209367850133776	0.0016407328948582801
eqhp/vhot/comp/O	4548730650102223978	0.00012464600980580397
eqhp/vhot/comp/H	4538470632056346840	2.6594825116099018e-05
eqhp/vhot/comp/O2	4583254864342066141	0.026359619118156864
eqhp/vhot/comp/N2	4605210854977551093	0.7811124449779913
eqhp/vhot/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/vhot/rise	4626716589849706496	21.399316692259163
fr100/cold/da003/T9	4649287247725231771	690.76485331725
fr100/cold/da003/V9	4651232437556512787	911.9073340038325
fr100/cold/da003/dS	13779917954748514304	-0.0004288179105174095
fr100/cold/da003/comp/CO2	4586280091573029937	0.042460969027182556
fr100/cold/da003/comp/H2O	4586279818633520673	0.04245907512888559
fr100/cold/da003/comp/CO	4483948437544136263	6.0966585528074116e-09
fr100/cold/da003/comp/H2	4480436169875113166	3.458334564678303e-09
fr100/cold/da003/comp/OH	4526066511296977854	3.793049555496596e-06
fr100/cold/da003/comp/O	4492902691180729964	2.4211451855825347e-08
fr100/cold/da003/comp/H	4447879864721664964	2.368654991913058e-11
fr100/cold/da003/comp/O2	4594424312477853810	0.14589141526295496
fr100/cold/da003/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da003/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da03/T9	4649287280221795569	690.768547748825
fr100/cold/da03/V9	4651232446619216402	911.9083643139477
fr100/cold/da03/dS	13778889340900343808	-0.00037305664207565314
fr100/cold/da03/comp/CO2	4586280091780873911	0.04246097046938984
fr100/cold/da03/comp/H2O	4586279883120773230	0.042459522599089236
fr100/cold/da03/comp/CO	4482204915983204195	4.654451320036213e-09
fr100/cold/da03/comp/H2	4478458856034384984	2.640536727686744e-09
fr100/cold/da03/comp/OH	4523957268179113553	2.899750348196372e-06
fr100/cold/da03/comp/O	4491172200346809273	1.848573798374568e-08
fr100/cold/da03/comp/H	4446145407924865015	1.808221774872533e-11
fr100/cold/da03/comp/O2	4594424320586359942	0.14589164031921004
fr100/cold/da03/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da03/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da1/T9	4649287331142804769	690.7743367973345
fr100/cold/da1/V9	4651232463733486311	911.9103099811736
fr100/cold/da1/dS	13777510144757202944	-0.00029829026934180547
fr100/cold/da1/comp/CO2	4586280092118475424	0.04246097281197092
fr100/cold/da1/comp/H2O	4586279988056342775	0.042460250735873055
fr100/cold/da1/comp/CO	4477664189236728643	2.3118702434562816e-09
fr100/cold/da1/comp/H2	4473915154368909640	1.3119754567323238e-09
fr100/cold/da1/comp/OH	4519436043883252022	1.4461430053741006e-06
fr100/cold/da1/comp/O	4486633168704772662	9.18425164068183e-09
fr100/cold/da1/comp/H	4441603922155317857	8.979900510509223e-12
