# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/47/sp_thrust	4648905402518966924	647.3540793178413
G/r44/48/s	4606822130829827773	0.9600000000000005
G/r44/48/nu_lp	4606333014738269716	0.9056972053437584
G/r44/48/nu_hp	4606054322434430706	0.8747561440929685
G/r44/48/Tt4	4653872080561897472	1400.0
G/r44/48/slip	4607341715939980903	1.0353710705088817
G/r44/48/pi_lpc	4612860717953827350	2.5216713845077363
G/r44/48/pi_hpc	4617250875114042775	4.942585617810798
G/r44/48/phi_lp	4605311872397310630	0.7923276315085175
G/r44/48/phi_hp	4606506774703781697	0.9249884367907059
G/r44/48/mdot_air	4604638866088872364	0.7176089215739032
G/r44/48/f	4583444003037081889	0.027015825787075735
G/r44/48/Phi_lp	4591052846384714916	0.0886572165896547
G/r44/48/Phi_hp	4591167736259331301	0.0902516338908473
G/r44/48/sp_thrust	4648913251590055668	648.2464153889728
G/r44/49/s	4607002274814922593	0.9800000000000005
G/r44/49/nu_lp	4606348785989472704	0.9074481659650289
G/r44/49/nu_hp	4606070434080621367	0.8765448961495171
G/r44/49/Tt4	4653872080561897472	1400.0
G/r44/49/slip	4607341196696092144	1.0352557752047424
G/r44/49/pi_lpc	4612878600652953434	2.5296128982326254
G/r44/49/pi_hpc	4617264785239040894	4.954940290649459
G/r44/49/phi_lp	4605338582849792529	0.7952930874428735
G/r44/49/phi_hp	4606518889847204006	0.9263334879081142
G/r44/49/mdot_air	4604675600438100758	0.7216872536047017
G/r44/49/f	4583436229869690449	0.026988857195162478
G/r44/49/Phi_lp	4590893418778825761	0.08644471410441713
G/r44/49/Phi_hp	4591050609374662941	0.08862617183882944
G/r44/49/sp_thrust	4648920885698616714	649.1143130501016
G/r44/50/s	4607182418800017410	1.0000000000000004
G/r44/50/nu_lp	4606364161855653566	0.9091552300307837
G/r44/50/nu_hp	4606086254328946511	0.8783012965441034
G/r44/50/Tt4	4653872080561897472	1400.0
