# phase-3E nozzle-strand oracle — key	u64 bits	repr
# cpython 3.14.3
dp/warm/T9_cycle	4651997398599473803	998.8733359582997
nz/warm/T9_frozen	4651997398599473765	998.8733359582953
nz/warm/T9_eq	4652006707907420893	999.931681740181
nz/warm/V9_frozen	4653030337690208967	1208.6098294860437
nz/warm/V9_eq	4653033078172241485	1209.2329429582635
nz/warm/dV9	4603787726747873280	0.6231134722197567
nz/warm/dV9_frac	4557894444712971750	0.0005155621417415851
nz/warm/co_frac_entry	4553290394884093731	0.00025233565453573937
nz/warm/exit_eq/CO2	4590299008949492986	0.07819562062205768
nz/warm/exit_eq/H2O	4590299005231216854	0.0781955690206105
nz/warm/exit_eq/CO	4447518377366012311	2.2518521277415988e-11
nz/warm/exit_eq/H2	4450056500549249210	3.2335448734386856e-11
nz/warm/exit_eq/OH	4502388733451587202	1.031832419735058e-07
nz/warm/exit_eq/O	4454866584168337785	6.863211021888399e-11
nz/warm/exit_eq/H	4401396955789367791	1.8565745086869782e-14
nz/warm/exit_eq/O2	4591314643165622143	0.09229037676385408
nz/warm/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/warm/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/warm/x_no_e_entry	4563146321197880219	0.0011933809623958294
clamp/warm/x_no_e_exit	4537138964769449946	2.2082960848969362e-05
clamp/warm/collapse	4632802384354938942	54.0408041547348
dp/hot/far	4587980708589503110	0.054261370075669155
dp/hot/Tt9	4656474852593391877	1991.8018431417306
dp/hot/pt9	4691084119214877271	427273.7278114906
dp/hot/p9	4677104761256804352	50000.0
dp/hot/V9_cycle	4653900841345945230	1406.5394451775678
dp/hot/T9_cycle	4653247435782818656	1257.972220734424
nz/hot/T9_frozen	4653247435782818572	1257.9722207344048
nz/hot/T9_eq	4653308816264861712	1271.9285265370308
nz/hot/V9_frozen	4653900841345945306	1406.539445177585
nz/hot/V9_eq	4653929315186485835	1413.0136469552697
nz/hot/dV9	4618975321605763328	6.474201777684584
nz/hot/dV9_frac	4571956838453963824	0.004602929409396814
nz/hot/co_frac_entry	4577478271393319923	0.010971518159726279
nz/hot/exit_eq/CO2	4592736765048196832	0.11202628248707525
nz/hot/exit_eq/H2O	4592736529226196264	0.11202300979939095
nz/hot/exit_eq/CO	4499786286109607658	6.874013818989559e-08
nz/hot/exit_eq/H2	4496379961643309029	4.163122701394499e-08
nz/hot/exit_eq/OH	4529405205099500110	6.599385496898286e-06
nz/hot/exit_eq/O	4494801661197576725	3.118691077799648e-08
nz/hot/exit_eq/H	4462094804722703104	2.0769402066796722e-10
nz/hot/exit_eq/O2	4586147754553682258	0.04154269649036969
nz/hot/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/hot/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/hot/x_no_e_entry	4569819974199580440	0.003327872557934774
clamp/hot/x_no_e_exit	4549202002066642939	0.00013742203040151266
clamp/hot/collapse	4627509539985065929	24.21644148475733
dp/cool0/far	4581786114630726812	0.021263869908967878
dp/cool0/Tt9	4652486993103246256	1085.0675737161473
dp/cool0/pt9	4690158102991709771	373372.489492987
dp/cool0/p9	4677104761256804352	50000.0
dp/cool0/V9_cycle	4651956617081298145	994.2370141194225
dp/cool0/T9_cycle	4648976905827319412	655.4830643310693
nz/cool0/T9_frozen	4648976905827319470	655.4830643310759
nz/cool0/T9_eq	4648977002621428938	655.4940685472914
nz/cool0/V9_frozen	4651956617081298085	994.2370141194157
nz/cool0/V9_eq	4651956703331918659	994.2468196797203
nz/cool0/dV9	4576806142450991104	0.009805560304585015
nz/cool0/dV9_frac	4531939357231089115	9.862397160167777e-06
nz/cool0/co_frac_entry	4504532152942516273	1.438930359151042e-07
nz/cool0/exit_eq/CO2	4586487583001059117	0.04390073003224724
nz/cool0/exit_eq/H2O	4586487583000834556	0.043900730030689034
nz/cool0/exit_eq/CO	4325965406449100870	1.6884059193541205e-19
nz/cool0/exit_eq/H2	4343409040594110082	2.4815990348211405e-18
nz/cool0/exit_eq/OH	4434754318304702657	3.1164209713901817e-12
nz/cool0/exit_eq/O	4352676978718509322	1.0328127976676962e-17
nz/cool0/exit_eq/H	4257324177458563036	4.353832138319185e-24
nz/cool0/exit_eq/O2	4594346537950364780	0.14373273848426338
nz/cool0/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/cool0/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/cool0/x_no_e_entry	4544541653439857886	6.658667012950393e-05
clamp/cool0/x_no_e_exit	4501663239487857657	9.358140931236453e-08
clamp/cool0/collapse	4649469964739327128	711.537372847687
dp/dp0/far	4583674764794542402	0.02781644146312457
dp/dp0/Tt9	4653405807500276402	1293.9817802190487
dp/dp0/pt9	4690952814143653462	419630.76674947643
dp/dp0/p9	4677104761256804352	50000.0
dp/dp0/V9_cycle	4652618245388949402	1114.9108883267968
dp/dp0/T9_cycle	4650032830652080107	775.5278185298642
nz/dp0/T9_frozen	4650032830652080254	775.527818529881
nz/dp0/T9_eq	4650033646199677184	775.6205355571874
nz/dp0/V9_frozen	4652618245388949326	1114.9108883267795
nz/dp0/V9_eq	4652618551967602472	1114.9805962419578
nz/dp0/dV9	4589687405316308992	0.06970791517824182
nz/dp0/dV9_frac	4544241830123203197	6.252330648851864e-05
nz/dp0/co_frac_entry	4527498528904059225	4.984367939614377e-06
nz/dp0/exit_eq/CO2	4588437207442000016	0.05742896718040058
nz/dp0/exit_eq/H2O	4588437207417554286	0.057428967010774254
nz/dp0/exit_eq/CO	4380639085493347961	7.537415391926743e-16
nz/dp0/exit_eq/H2	4391310034250422833	3.789685573213006e-15
nz/dp0/exit_eq/OH	4465125614472412097	3.3924658926306314e-10
nz/dp0/exit_eq/O	4398752798125482458	1.2216554684476573e-14
nz/dp0/exit_eq/H	4321924040454100931	8.998423092948938e-20
nz/dp0/exit_eq/O2	4593559237646062424	0.12344038267799584
nz/dp0/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/dp0/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/dp0/x_no_e_entry	4554343111683123204	0.0003094035465617264
clamp/dp0/x_no_e_exit	4517906909039633519	1.1223361070392446e-06
clamp/dp0/collapse	4643557397571517685	275.67815436139
dp/warm0/far	4585696170412051188	0.03840920204290468
dp/warm0/Tt9	4654776108357421607	1605.5521225711652
dp/warm0/pt9	4691891708843150000	474281.6310512228
dp/warm0/p9	4677104761256804352	50000.0
dp/warm0/V9_cycle	4653330501680788378	1276.859219259792
dp/warm0/T9_cycle	4651665178042562082	961.1042314168919
nz/warm0/T9_frozen	4651665178042561982	961.1042314168806
nz/warm0/T9_eq	4651674052596525818	962.1131513932189
nz/warm0/V9_frozen	4653330501680788425	1276.8592192598028
nz/warm0/V9_eq	4653333210017206047	1277.4750236654143
