# slice Q smoke — rung 37 CombustorTransient — key	u64 bits (or an integer)	repr
E/press/1/rung35_pi_c	4618474697339799038	6.029558108276886
E/press/1/massbal_rel	13656964107231586248	-2.6469927717161723e-12
census/E/backpressure_bracket_fails	0	0
census/E/backpressure_calls	5114	5114
census/E/illinois_calls	10518	10518
census/E/illinois_evals	93052	93052
census/E/illinois_exhausted	48	48
census/E/instant_soak_calls	0	0
census/E/plenum_state_calls	5114	5114
census/E/pt4_at_bracket_fails	69	69
census/E/pt4_at_calls	119	119
census/E/pt4_at_floor_fails	0	0
census/E/soak_close_bracket_fails	0	0
census/E/soak_close_calls	0	0
F/flow/0/E0	4591982419958189200	0.10155764139408263
F/flow/0/peak	4591982419952921536	0.10155764132097911
F/flow/0/peak_minus_E0	13678584579848404992	-7.310352323486313e-11
F/flow/0/split_max	4597086887939865051	0.21979272983112605
F/flow/0/nu0	4605566620785509837	0.8206103841150082
F/flow/0/r_v	4584304132692975288	0.03
F/flow/1/E0	4591982419958189200	0.10155764139408263
F/flow/1/peak	4591982419952921536	0.10155764132097911
F/flow/1/peak_minus_E0	13678584579848404992	-7.310352323486313e-11
F/flow/1/split_max	4597086887939865051	0.21979272983112605
F/flow/1/nu0	4605566620785509837	0.8206103841150082
F/flow/1/r_v	4591870180066957722	0.1
F/press/0/E0	4593873937847163744	0.130615450583913
F/press/0/peak	4593873937239772048	0.13061543372540685
F/press/0/peak_minus_E0	13714052436555988992	-1.685850614663309e-08
F/press/0/split_max	4597127393555919617	0.2209169865203862
F/press/0/nu0	4605470045249472133	0.8098883457425506
F/press/0/r_v	4584304132692975288	0.03
F/press/1/E0	4593873937847163744	0.130615450583913
F/press/1/peak	4593873937239772048	0.13061543372540685
F/press/1/peak_minus_E0	13714052436555988992	-1.685850614663309e-08
F/press/1/split_max	4597127393555919617	0.2209169865203862
F/press/1/nu0	4605470045249472133	0.8098883457425506
F/press/1/r_v	4591870180066957722	0.1
census/F/backpressure_bracket_fails	0	0
census/F/backpressure_calls	2812	2812
census/F/illinois_calls	6288	6288
census/F/illinois_evals	55678	55678
census/F/illinois_exhausted	4	4
census/F/instant_soak_calls	0	0
census/F/plenum_state_calls	2812	2812
census/F/pt4_at_bracket_fails	0	0
census/F/pt4_at_calls	4	4
census/F/pt4_at_floor_fails	0	0
census/F/soak_close_bracket_fails	0	0
census/F/soak_close_calls	0	0
G/nu	4606772882669196752	0.9545323558147008
G/tt2	4643745586963694955	286.3754828060834
G/pt2	4680086807681088516	77858.48677323764
G/n	4606772882669196752	0.9545323558147008
G/0/m	4606534696169164353	0.9280883421656158
G/0/m_imp	4606534696169164334	0.9280883421656136
G/0/phi	4606932886661498012	0.9722963674431813
G/0/tau_c	4611522118639752441	1.963606936407187
G/0/eta_c	4606099241267959298	0.8797431364152433
G/0/Tt3	4648157512995721857	562.3288844549826
G/0/Tt4_b	4653846075702064605	1394.087179440415
G/0/Tt4_t	4653716734792714772	1364.6784614963735
G/0/pi_c	4621151438278846338	8.813963290933092
G/0/pt4	4693906193747300600	658792.1705346396
G/0/f	4582695065502518660	0.024417426740581685
G/0/mdot4	4606738813077217721	0.9507498712692303
G/0/mdot_air	4606534696169164353	0.9280883421656158
G/1/m	4606481018854440567	0.9221289630949759
G/1/m_imp	4606481018854440513	0.92212896309497
G/1/phi	4606876652512496356	0.9660531227439972
G/1/tau_c	4611540561041041088	1.9677019721151936
G/1/eta_c	4606098547895168330	0.8796661565715251
G/1/Tt3	4648167828330825645	563.501602282971
G/1/Tt4_b	4653872080561899533	1400.0000000004686
G/1/Tt4_t	4653872080561899327	1400.0000000004218
G/1/pi_c	4621185909652718578	8.875196751674569
G/1/pt4	4693945508527671994	663369.0133441307
G/1/f	4582740548490772282	0.024575227555543956
G/1/mdot4	4606685135762493901	0.9447904921985867
G/1/mdot_air	4606481018854440567	0.9221289630949759
G/2/m	4606446041719078838	0.9182457209935737
G/2/m_imp	4606446041719078889	0.9182457209935794
G/2/phi	4606840009296424465	0.9619849085260644
G/2/tau_c	4611552560592570102	1.970366407793731
G/2/eta_c	4606098020511574504	0.8796076052306576
G/2/Tt3	4648174540005361930	564.264631336818
G/2/Tt4_b	4653889161457037223	1403.8837459077856
G/2/Tt4_t	4653975414297745328	1423.495371317007
G/2/pi_c	4621208353219606173	8.915064535215885
G/2/pt4	4693971105531905325	666348.8968297594
G/2/f	4582770503734031588	0.024679155682964984
G/2/mdot4	4606650158627132280	0.9409072500971964
G/2/mdot_air	4606446041719078837	0.9182457209935736
census/G/backpressure_bracket_fails	0	0
census/G/backpressure_calls	0	0
census/G/illinois_calls	58	58
census/G/illinois_evals	490	490
census/G/illinois_exhausted	0	0
census/G/instant_soak_calls	0	0
census/G/plenum_state_calls	0	0
census/G/pt4_at_bracket_fails	0	0
census/G/pt4_at_calls	0	0
census/G/pt4_at_floor_fails	0	0
census/G/soak_close_bracket_fails	0	0
census/G/soak_close_calls	3	3
H/0/nu	4606772882669196752	0.9545323558147008
H/0/Tt4	4653716734792714772	1364.6784614963735
H/0/pi_c	4621151438278846338	8.813963290933092
H/0/tau_c	4611522118639752441	1.963606936407187
H/0/eta_c	4606099241267959298	0.8797431364152433
H/0/eta_t	4606281698775984827	0.8999999890578104
H/0/m	4606534696169164353	0.9280883421656158
H/0/n	4606772882669196752	0.9545323558147008
H/0/flowcoef	4606932886661498012	0.9722963674431813
H/0/mdot_air	4606534696169164353	0.9280883421656158
H/0/f	4582695065502518660	0.024417426740581685
H/0/pi_t	4601383950882215430	0.4281203705052977
H/0/tau_t	4605740235951395632	0.8398855395740608
H/0/Tt3	4648157512995721857	562.3288844549826
H/0/Tt5	4652755740715051870	1146.1737059789807
H/0/nu_t	4607185749970764813	1.0007396684925454
H/0/p_net_spec	13886605436416719104	-5922.0700321479235
H/0/Phi	13804495387138040220	-0.018964444163800928
H/0/sp_thrust	4649146743150236476	674.7913325006152
H/0/thrust	4648719909539724623	626.2659690882227
H/0/M9	4607182418800017859	1.0000000000001001
H/0/pt9_over_p0	4617910026915815145	5.528030023451472
H/0/Tt4_burner	4653846075702064605	1394.087179440415
H/0/dTm_ds	4636598598768860997	98.02905981347165
H/0/branch_choked	1	1
H/1/nu	4606772882669196752	0.9545323558147008
H/1/Tt4	4653872080561899327	1400.0000000004218
H/1/pi_c	4621185909652718578	8.875196751674569
H/1/tau_c	4611540561041041088	1.9677019721151936
H/1/eta_c	4606098547895168330	0.8796661565715251
H/1/eta_t	4606281673084289126	0.8999971367065995
H/1/m	4606481018854440567	0.9221289630949759
H/1/n	4606772882669196752	0.9545323558147008
H/1/flowcoef	4606876652512496356	0.9660531227439972
H/1/mdot_air	4606481018854440567	0.9221289630949759
H/1/f	4582740548490772282	0.024575227555543956
H/1/pi_t	4601387507835947119	0.4283178211018201
H/1/tau_t	4605746347658375484	0.8405640753549402
H/1/Tt3	4648167828330825645	563.501602282971
H/1/Tt5	4652890391304917247	1176.7897054972707
H/1/nu_t	4607074646364242905	0.9880348560383211
H/1/p_net_spec	4513713485078593536	5.940091796219349e-07
H/1/Phi	4431717850040756018	1.89000120646381e-12
H/1/sp_thrust	4649270960237973840	688.9131803964647
H/1/thrust	4648799081656687464	635.266796701454
H/1/M9	4607182418800017401	0.9999999999999992
H/1/pt9_over_p0	4617956157597587394	5.569002299487638
H/1/Tt4_burner	4653872080561899533	1400.0000000004686
H/1/dTm_ds	4460102947375677440	1.5620571502950042e-10
H/1/branch_choked	1	1
H/2/nu	4606772882669196752	0.9545323558147008
H/2/Tt4	4653975414297745328	1423.495371317007
H/2/pi_c	4621208353219606173	8.915064535215885
H/2/tau_c	4611552560592570102	1.970366407793731
H/2/eta_c	4606098020511574504	0.8796076052306576
H/2/eta_t	4606281625710035844	0.8999918771079227
H/2/m	4606446041719078838	0.9182457209935737
H/2/n	4606772882669196752	0.9545323558147008
H/2/flowcoef	4606840009296424465	0.9619849085260644
H/2/mdot_air	4606446041719078837	0.9182457209935736
H/2/f	4582770503734031588	0.024679155682964984
H/2/pi_t	4601389806648129973	0.42844543081255476
H/2/tau_t	4605750285097500446	0.8410012189123994
H/2/Tt3	4648174540005361930	564.264631336818
H/2/Tt5	4652979986711495336	1197.1613423937615
H/2/nu_t	4607000896446419428	0.9798469703551373
H/2/p_net_spec	4660917740301193856	3955.995101692446
H/2/Phi	4578379017950952387	0.01253406435915661
H/2/sp_thrust	4649352741738074778	698.2106605270703
H/2/thrust	4648850645714560017	641.128951381079
H/2/M9	4607182418800017540	1.0000000000000293
H/2/pt9_over_p0	4617986199813571239	5.595685147404459
H/2/Tt4_burner	4653889161457037223	1403.8837459077856
H/2/dTm_ds	13857672605296077957	-65.37208469740479
H/2/branch_choked	1	1
census/H/backpressure_bracket_fails	0	0
census/H/backpressure_calls	0	0
census/H/illinois_calls	6	6
census/H/illinois_evals	52	52
census/H/illinois_exhausted	0	0
census/H/instant_soak_calls	3	3
census/H/plenum_state_calls	0	0
census/H/pt4_at_bracket_fails	0	0
census/H/pt4_at_calls	0	0
census/H/pt4_at_floor_fails	0	0
census/H/soak_close_bracket_fails	0	0
census/H/soak_close_calls	3	3
I/flow/0/nu	4606772882669204626	0.9545323558155749
I/flow/0/Tt4	4653872080561895715	1399.9999999996005
I/flow/0/pi_c	4621185909652727436	8.875196751690304
I/flow/0/Phi	4420453446124640250	3.4966411345497194e-13
I/flow/0/tau_t	4605746347658375362	0.8405640753549266
I/flow/0/Tt4_burner	4653872080561893325	1399.999999999057
I/flow/0/dTm_ds	13699703042848675157	-1.8115618634813775e-09
I/flow/0/mdot_air	4606481018854458218	0.9221289630969356
I/flow/0/rung35_nu	4606772882669196752	0.9545323558147008
I/flow/0/rung35_pi_c	4621185909652718684	8.875196751674757
I/flow/1/nu	4605566620785496032	0.8206103841134755
I/flow/1/Tt4	4652552666608598816	1100.0000000073996
I/flow/1/pi_c	4618494000952524009	6.046703160521454
I/flow/1/Phi	4438122958214124299	5.316028783878074e-12
I/flow/1/tau_t	4605684374842667968	0.8336837106650066
I/flow/1/Tt4_burner	4652552666608579400	1100.000000002985
I/flow/1/dTm_ds	13713348898409065131	-1.471592743958657e-08
I/flow/1/mdot_air	4604636101219926459	0.7173019594575217
I/flow/1/rung35_nu	4605566620785509837	0.8206103841150082
I/flow/1/rung35_pi_c	4618494000952540457	6.046703160536063
I/press/0/nu	4606743381644774837	0.9512570841583768
I/press/0/Tt4	4653872080561961020	1400.0000000144491
I/press/0/pi_c	4621184978627438682	8.87354291855097
I/press/0/Phi	4440933270443057754	7.896404232858737e-12
I/press/0/tau_t	4605746351014541718	0.8405644479642429
I/press/0/Tt4_burner	4653872080561908663	1400.0000000025445
I/press/0/dTm_ds	13719457384149374293	-3.9681632794478596e-08
I/press/0/mdot_air	4606479470996150013	0.9219571163036729
I/press/0/rung35_nu	4606743381644778076	0.9512570841587364
I/press/0/rung35_pi_c	4621184978627425886	8.87354291852824
I/press/1/nu	4605470045249491377	0.8098883457446872
I/press/1/Tt4	4652552666608574834	1100.0000000019468
I/press/1/pi_c	4618474697339832080	6.029558108306233
I/press/1/Phi	4426826051058607984	8.880495348171659e-13
I/press/1/tau_t	4605684420700519822	0.8336888019093054
I/press/1/Tt4_burner	4652552666608567570	1100.0000000002951
I/press/1/dTm_ds	13706606234977697792	-5.505853550857864e-09
I/press/1/mdot_air	4604617780773539914	0.7152679813175464
I/press/1/rung35_nu	4605470045249472133	0.8098883457425506
I/press/1/rung35_pi_c	4618474697339799038	6.029558108276886
census/I/backpressure_bracket_fails	0	0
census/I/backpressure_calls	0	0
census/I/illinois_calls	1024	1024
census/I/illinois_evals	8663	8663
census/I/illinois_exhausted	0	0
census/I/instant_soak_calls	461	461
census/I/plenum_state_calls	0	0
census/I/pt4_at_bracket_fails	0	0
census/I/pt4_at_calls	0	0
census/I/pt4_at_floor_fails	0	0
census/I/soak_close_bracket_fails	69	69
census/I/soak_close_calls	461	461
J/cold/e_surge	4591311172014092496	0.09224220485947687
J/cold/nu0	4605566620785508860	0.8206103841148997
J/cold/nu_final	4606772882669199231	0.954532355814976
J/cold/t_accel_is_none	1	1
J/cold/t_accel	0	0.0
J/hot/e_surge	4591625272609369616	0.09660122627104095
J/hot/nu0	4605566620785508860	0.8206103841148997
J/hot/nu_final	4606772882669199231	0.954532355814976
J/hot/t_accel_is_none	0	0
J/hot/t_accel	4611686018427387906	2.000000000000001
J/adiab/e_surge	4591982419958189200	0.10155764139408263
J/adiab/nu0	4605566620785508860	0.8206103841148997
J/adiab/nu_final	4606772882669199231	0.954532355814976
J/adiab/t_accel_is_none	0	0
J/adiab/t_accel	4612023788399440692	2.1500000000000004
census/J/backpressure_bracket_fails	0	0
census/J/backpressure_calls	0	0
census/J/illinois_calls	2766	2766
census/J/illinois_evals	23751	23751
census/J/illinois_exhausted	0	0
census/J/instant_soak_calls	482	482
census/J/plenum_state_calls	0	0
census/J/pt4_at_bracket_fails	0	0
census/J/pt4_at_calls	0	0
census/J/pt4_at_floor_fails	0	0
census/J/soak_close_bracket_fails	0	0
census/J/soak_close_calls	482	482
K/plenum_K	0	0.0
K/pt4_d	4694667685457302737	747441.4730230813
K/mdot4_d	4607305210570929501	1.0272652502602206
K/0/ct_nu	4607182418799910783	0.9999999999881622
K/0/st_nu	4607182418799910783	0.9999999999881622
K/0/ct_pi_c	4621819117588848526	9.999999999781519
K/0/st_pi_c	4621819117588848526	9.999999999781519
K/0/ct_tau_t	4605762360027406107	0.8423418054325994
K/0/st_tau_t	4605762360027406107	0.8423418054325994
K/0/ct_Tt4	4654311885213075332	1500.0000000153386
K/0/st_Tt4	4654311885213075332	1500.0000000153386
K/0/ct_mdot_air	4607182418799767871	0.9999999999722958
K/0/st_mdot_air	4607182418799767871	0.9999999999722958
K/1/ct_nu	4605965663708570981	0.8649130482146289
K/1/st_nu	4605965663708570981	0.8649130482146289
K/1/ct_pi_c	4619455184209252447	6.900405386524738
K/1/st_pi_c	4619455184209252447	6.900405386524738
K/1/ct_tau_t	4605707979152424326	0.8363043154821959
K/1/st_tau_t	4605707979152424326	0.8363043154821959
K/1/ct_Tt4	4652992471259657127	1199.999999995556
K/1/st_Tt4	4652992471259657127	1199.999999995556
K/1/ct_mdot_air	4605205246455367522	0.7804897739317591
K/1/st_mdot_air	4605205246455367522	0.7804897739317591
K/2/ct_nu	4604764070394535395	0.7315093918668335
K/2/st_nu	4604764070394535395	0.7315093918668335
K/2/ct_pi_c	4616840745473785841	4.578317322055214
K/2/st_pi_c	4616840745473785841	4.578317322055214
K/2/ct_tau_t	4605623121173203206	0.8268831872467508
K/2/st_tau_t	4605623121173203206	0.8268831872467508
K/2/ct_Tt4	4651127699538974408	900.000000000663
