# phase-3D resolved-cross-plane oracle — key	u64 bits	repr
# cpython 3.14.3
loc/g/kp40/gmin	4581485383116602703	0.020220497873933593
loc/g/kp40/clear_lo	4607282548615398823	1.0222332852975826
loc/g/kp40/clear_hi	4609221756880308489	1.4528240183468049
loc/g/kp40/v0	4581614962298621088	0.02067006597202392
loc/g/kp40/v1	4581485383116602703	0.020220497873933593
loc/g/kp40/v2	4584124514720875190	0.029376824974181225
loc/g/kp40/v3	4586437291166122202	0.04355176032538717
loc/g/kp40/v4	4587137439975340463	0.04841001862949967
fine/J0	4607182418800017408	1.0
fine/g0	4586252571751723504	0.04227001190688273
fine/J12	4616721195882509480	4.47213595499958
fine/g12	4584278516048897384	0.029911124412284634
fine/J24	4626322717216342016	20.0
fine/g24	4581100388645993343	0.018884779981358953
fine/J30	4631149288344528386	42.294850537622565
fine/g30	4584291982241567404	0.029957844653398055
fine/J36	4635994388755771858	89.44271909999159
fine/g36	4586391424662325604	0.04323349752179942
fine/J48	4645744490609377280	400.0
fine/g48	4587164735738452595	0.048599421033760935
F/base/J4.0	4600740075459548598	0.39237810454354916
F/base/J9.0	4599812742950444680	0.3409008093890198
F/base/J16.0	4599366644501220664	0.31613737091011584
F/base/J36.0	4600346268785677538	0.3705174427144141
F/base/J64.0	4601373680895163082	0.42755027170089177
loc/F/base/idx	4611686018427387904	2.0
loc/F/base/J	4625196817309499392	16.0
loc/F/base/C	4612811918334230528	2.5
loc/F/base/clear_lo	4607535191431689962	1.0783312596280958
loc/F/base/clear_hi	4607957101243947298	1.1720140572047701
F/base/depth	4608769574083308053	1.3524192678329474
F/cancel/J4.0/a	4600740075459548644	0.3923781045435517
F/cancel/J4.0/b	4600740075459548635	0.3923781045435512
F/cancel/J4.0/d	13601433824612319232	-4.996003610813204e-16
F/cancel/J16.0/a	4599366644501220684	0.31613737091011695
F/cancel/J16.0/b	4599366644501220698	0.31613737091011773
F/cancel/J16.0/d	4380876537524649984	7.771561172376096e-16
F/cancel/J64.0/a	4601373680895163190	0.42755027170089777
F/cancel/J64.0/b	4601373680895163018	0.4275502717008882
F/cancel/J64.0/d	13620433385540288512	-9.547918011776346e-15
grad/base/J4.0	4614931967771093492	3.441491079259544
grad/base/J9.0	4616255157509980053	4.058210729766775
grad/base/J16.0	4616317790053082888	4.113839602921651
grad/base/J36.0	4615692645365711763	3.779299791204218
grad/base/J64.0	4613449213474155572	2.783015895130598
loc/grad/base/idx	4611686018427387904	2.0
loc/grad/base/J	4625196817309499392	16.0
loc/grad/base/clear_lo	4607244152945702282	1.0137077339889822
loc/grad/base/clear_hi	4607581072903853706	1.0885189929880732
loc/Fshift/halfS/idx	4611686018427387904	2.0
loc/Fshift/halfS/J	4634204016564240384	64.0
loc/Fshift/halfS/C	4612811918334230528	2.5
loc/Fshift/base/idx	4611686018427387904	2.0
loc/Fshift/base/J	4625196817309499392	16.0
loc/Fshift/base/C	4612811918334230528	2.5
stag/base/J4.0	4644653775074623488	338.0
stag/base/J9.0	4642507528377204736	236.0
stag/base/J16.0	4641522365958717440	208.0
stag/base/J36.0	4643985272004935680	300.0
stag/base/J64.0	4646096334330265600	420.0
loc/stag/base/idx	4611686018427387904	2.0
loc/stag/base/J	4625196817309499392	16.0
stag/base/frac_min	4596486369685012480	0.203125
stag/base/frac_max	4601060338056560640	0.41015625
stag/n16/J16	4631389266797133824	44.0
stag/n32/J16	4641522365958717440	208.0
stag/n48/J16	4647714815446351872	512.0
knots/r23/n16/J4.0	4620693217682128896	8.0
knots/r24/n16/J4.0	4620693217682128896	8.0
knots/r23/n16/J16.0	4620693217682128896	8.0
knots/r24/n16/J16.0	4620693217682128896	8.0
knots/r23/n16/J100.0	4620693217682128896	8.0
knots/r24/n16/J100.0	4620693217682128896	8.0
knots/r23/n32/J4.0	4625196817309499392	16.0
knots/r24/n32/J4.0	4625196817309499392	16.0
knots/r23/n32/J16.0	4625196817309499392	16.0
knots/r24/n32/J16.0	4625196817309499392	16.0
knots/r23/n32/J100.0	4625196817309499392	16.0
knots/r24/n32/J100.0	4625196817309499392	16.0
knots/r23/n48/J4.0	4627448617123184640	24.0
