# slice U oracle (cpython) - rungs 49+50+51+52 readers - key	u64 bits (or an integer)	repr
A/hp/3/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/hp/3/min_phi_hp_lim	4605966446900627362	0.8649999999999987
A/hp/3/fuel_removed	4545052928237462087	7.351573570824845e-05
A/hp/3/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/hp/3/Tt4_peak_lim	4655140944133828525	1688.5061739859914
A/hp/3/nu_hp_end	4606804991138542079	0.9580971120099661
A/hp/3/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/hp/3/n_engaged	11	11
A/hp/3/both_edges_inside_ramp	0	0
A/hp/3/spool	2	'hp'
A/hp/3/s_eng	4599075939470750515	0.3
A/hp/3/s_rel	4602678819172646913	0.5000000000000001
B/g3g4_r2/0/r	4611686018427387904	2.0
B/g3g4_r2/0/rho	4607182418800017408	1.0
B/g3g4_r2/0/ds	4581421828931458171	0.02
B/g3g4_r2/0/deficit_at_release	4594890300203001360	0.1588251728042427
B/g3g4_r2/0/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/0/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/0/relief_lp	13800692323884520960	-0.010697458975395868
B/g3g4_r2/0/relief_hp	13795534130239095552	-0.004780959682521013
B/g3g4_r2/0/s_min_lp	4599075939470750515	0.3
B/g3g4_r2/0/s_min_hp	4603219251127931373	0.5600000000000002
B/g3g4_r2/0/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/0/min_phi_lp_lim	4604932785356772453	0.7502405154342681
B/g3g4_r2/0/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/0/min_phi_hp_lim	4606334907240309342	0.9059073152776127
B/g3g4_r2/0/fuel_removed	4553575272032828292	0.00026777887571321373
B/g3g4_r2/0/nu_hp_end	4606811178511136323	0.9587840483615725
B/g3g4_r2/0/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/0/s_off/is_none	0	0
B/g3g4_r2/0/s_off	4599075939470750515	0.3
B/g3g4_r2/0/tau_rel/is_none	1	1
B/g3g4_r2/0/phi_lim/is_none	0	0
B/g3g4_r2/0/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/0/margin/is_none	1	1
B/g3g4_r2/0/relief_watched/is_none	0	0
B/g3g4_r2/0/relief_watched	13800692323884520960	-0.010697458975395868
B/g3g4_r2/0/relief_other/is_none	0	0
B/g3g4_r2/0/relief_other	13795534130239095552	-0.004780959682521013
B/g3g4_r2/0/n_engaged	14	14
B/g3g4_r2/0/spool	1	'lp'
B/g3g4_r2/0/s_eng	4581421828931458171	0.02
B/g3g4_r2/0/s_rel	4598715651500560875	0.27999999999999997
B/g3g4_r2/1/r	4611686018427387904	2.0
B/g3g4_r2/1/rho	4607182418800017408	1.0
B/g3g4_r2/1/ds	4581421828931458171	0.02
B/g3g4_r2/1/deficit_at_release	4599021023438637491	0.2969515478363533
B/g3g4_r2/1/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/1/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/1/relief_lp	13808539210844129104	-0.03473855199025755
B/g3g4_r2/1/relief_hp	13808500015109788096	-0.03446657694817956
B/g3g4_r2/1/s_min_lp	4604119971053405473	0.6600000000000003
B/g3g4_r2/1/s_min_hp	4604119971053405473	0.6600000000000003
